cost_id,route_id,vehicle_id,transport_mode,distance_km,base_cost,fuel_cost,driver_cost,toll_cost,handling_cost,transfer_cost,temperature_control_cost,total_cost,cost_per_kg,cost_per_km,fuel_price_index,route_id_raw
C01235,R0048,TRK033,road,239.5,1389.1,564.97,1266.14,210.45,839.53,381.63,0.0,4651.82,2.35,19.42,1.067,R048
C01236,R0032,TRK046,road,337.5,1957.5,773.92,1201.78,282.27,741.13,164.59,0.0,5121.19,4.17,15.17,1.056,R032
C01237,R0028,TRK017,local,513.7,4212.34,1371.88,895.53,106.62,572.3,83.74,0.0,7242.41,4.24,14.1,0.915,R028
C01238,R0008,TRK022,road,45.1,261.58,98.56,1185.53,28.39,265.03,291.59,0.0,2130.68,0.77,47.24,0.902,R008
C01239,R0018,TRK032,local,321.4,2635.48,803.0,815.73,84.2,667.9,282.84,837.61,6126.76,6.17,19.06,0.959,R018
C01240,R0079,TRK028,road,260.0,1508.0,495.9,1200.1,180.14,757.7,196.25,0.0,4338.09,1.71,16.68,1.22,R079
C01241,R0036,TRK011,road,365.4,2119.32,812.19,1182.12,260.32,426.85,215.74,805.3,5821.84,2.99,15.93,1.182,R036
C01242,R0093,TRK043,rail,193.6,696.96,174.1,444.62,31.53,381.53,514.08,0.0,2242.82,0.49,11.58,1.123,R093
C01243,R0039,TRK013,road,278.5,1615.3,544.83,1302.34,204.37,566.79,323.17,0.0,4556.8,1.59,16.36,0.99,R039
C01244,R0019,TRK043,road,223.9,1298.62,549.05,1053.4,158.34,248.25,74.07,667.09,4048.83,0.82,18.08,0.975,R019
C01245,R0054,TRK045,local,437.8,3589.96,1110.74,869.51,113.54,354.3,4.24,0.0,6042.29,12.25,13.8,1.176,R054
C01246,R0094,TRK017,road,310.8,1802.64,755.78,1386.14,215.7,247.86,558.6,922.72,5889.45,1.33,18.95,1.206,R094
C01247,R0085,TRK049,local,245.7,2014.74,642.8,1010.43,65.24,264.8,230.82,0.0,4228.83,10.85,17.21,1.213,R085
C01248,R0091,TRK025,road,539.9,3131.42,1063.53,1110.73,467.36,349.35,581.31,0.0,6703.7,4.86,12.42,1.172,R091
C01249,R0002,TRK034,rail,213.7,769.32,196.47,467.48,36.36,236.06,298.76,1171.01,3175.45,2.0,14.86,1.1,R002
C01250,R0096,TRK008,road,195.0,1131.0,446.35,1086.79,165.48,160.83,632.58,1676.33,5299.36,1.19,27.18,1.094,R096
C01251,R0002,TRK049,rail,356.5,1283.4,257.68,371.09,45.02,344.04,267.13,1129.73,3698.08,1.12,10.37,1.2,R002
C01252,R0062,TRK002,local,126.9,1040.58,389.98,749.02,30.78,257.1,232.59,0.0,2700.05,1.0,21.28,0.965,R062
C01253,R0030,TRK002,road,62.6,363.08,153.92,1123.04,42.33,830.38,573.73,0.0,3086.49,2.79,49.3,0.961,R030
C01254,R0097,TRK019,road,109.2,633.36,245.62,1298.86,86.07,411.97,439.14,0.0,3115.02,0.67,28.53,1.098,R097
C01255,R0024,TRK038,rail,506.3,1822.68,448.85,488.38,64.4,458.24,565.48,0.0,3848.02,1.6,7.6,1.178,R024
C01256,R0090,TRK036,road,232.7,1349.66,544.45,991.53,175.56,193.24,591.55,0.0,3846.0,4.0,16.53,1.148,R090
C01257,R0068,TRK035,road,345.7,2005.06,681.63,1258.65,292.41,409.03,131.7,0.0,4778.47,2.91,13.82,1.212,R068
C01258,R0058,TRK030,local,492.9,4041.78,1357.85,1063.33,119.73,206.61,218.85,0.0,7008.15,20.01,14.22,0.942,R058
C01259,R0057,TRK047,local,286.8,2351.76,911.21,834.28,84.18,408.54,191.95,1426.93,6208.85,1.32,21.65,1.108,R057
C01260,R0063,TRK040,road,273.6,1586.88,556.45,1251.35,178.8,816.84,359.8,0.0,4750.13,1.71,17.36,1.055,R063
C01261,R0015,TRK031,road,164.8,955.84,356.59,1378.4,115.54,783.29,444.32,0.0,4033.98,1.69,24.48,1.194,R015
C01262,R0069,TRK027,road,452.4,2623.92,1104.0,1134.85,292.65,416.28,303.29,0.0,5874.99,2.87,12.99,1.036,R069
C01263,R0026,TRK027,rail,327.4,1178.64,237.11,468.16,53.87,371.26,66.62,0.0,2375.65,2.14,7.26,1.01,R026
C01264,R0078,TRK004,road,497.1,2883.18,1074.09,1103.33,422.72,532.28,26.91,342.0,6384.51,1.7,12.84,1.007,R078
C01265,R0014,TRK026,road,439.9,2551.42,962.35,1345.71,355.43,191.72,558.33,0.0,5964.96,1.2,13.56,0.945,R014
C01266,R0078,TRK035,road,533.5,3094.3,1033.89,1382.25,382.91,644.11,659.36,0.0,7196.82,6.03,13.49,1.077,R078
C01267,R0083,TRK030,local,456.8,3745.76,1254.83,1046.44,129.13,593.87,178.01,187.86,7135.89,1.44,15.62,0.93,R083
C01268,R0056,TRK030,road,436.4,2531.12,872.78,1052.81,289.11,520.42,19.17,1763.13,7048.53,2.45,16.15,1.237,R056
C01269,R0019,TRK013,road,313.6,1818.88,593.78,1028.07,219.39,850.47,335.83,0.0,4846.42,1.62,15.45,1.038,R019
C01270,R0078,TRK024,rail,407.8,1468.08,280.15,462.46,60.43,652.65,697.62,1316.44,4937.85,1.53,12.11,1.096,R078
C01271,R0084,TRK012,road,239.1,1386.78,557.77,1274.2,150.03,630.78,512.93,1491.69,6004.19,1.22,25.11,1.053,R084
C01272,R0048,TRK030,local,200.3,1642.46,591.57,992.24,43.52,592.92,62.34,0.0,3925.05,1.01,19.6,1.172,R048
C01273,R0040,TRK036,rail,345.7,1244.52,312.86,440.7,50.94,823.83,679.32,0.0,3552.17,0.79,10.28,1.165,R040
C01274,R0003,TRK023,road,411.4,2386.12,909.34,1402.4,321.55,175.83,4.4,0.0,5199.64,3.09,12.64,0.933,R003
C01275,R0065,TRK045,rail,246.4,887.04,216.18,402.37,42.6,295.92,222.99,302.54,2369.64,0.48,9.62,1.15,R065
C01276,R0002,TRK021,road,524.6,3042.68,1075.82,1194.95,459.74,243.57,642.05,530.18,7188.98,2.14,13.7,1.047,R002
C01277,R0071,TRK003,local,391.9,3213.58,1170.66,891.76,117.01,244.74,187.12,0.0,5824.87,1.28,14.86,0.968,R071
C01278,R0029,TRK049,local,317.6,2604.32,991.22,938.18,72.55,363.33,294.25,0.0,5263.84,1.9,16.57,0.926,R029
C01279,R0080,TRK008,road,174.4,1011.52,424.79,984.3,118.24,622.55,658.01,0.0,3819.42,1.0,21.9,0.955,R080
C01280,R0060,TRK017,road,62.2,360.76,144.04,1081.21,51.36,846.54,597.81,1027.19,4108.92,3.37,66.06,1.191,R060
C01281,R0034,TRK033,local,137.4,1126.68,374.66,1057.39,39.12,261.07,186.89,0.0,3045.81,5.53,22.17,1.097,R034
C01282,R0093,TRK035,rail,318.9,1148.04,256.72,518.64,43.42,260.23,153.16,0.0,2380.2,0.62,7.46,1.144,R093
C01283,R0069,TRK018,road,227.5,1319.5,563.55,1409.08,196.42,642.18,156.3,0.0,4287.02,1.0,18.84,0.939,R069
C01284,R0004,TRK003,road,107.8,625.24,212.47,1039.47,76.82,783.91,232.24,1686.41,4656.56,1.39,43.2,1.219,R004
C01285,R0079,TRK030,road,546.1,3167.38,1069.45,1379.76,438.7,767.68,316.65,628.61,7768.24,2.37,14.22,1.093,R079
C01286,R0008,TRK013,road,501.1,2906.38,1086.71,1228.06,435.78,862.3,452.92,279.91,7252.06,2.77,14.47,1.175,R008
C01287,R0021,TRK015,road,154.8,897.84,349.08,966.85,94.78,739.88,119.44,858.28,4026.14,0.99,26.01,1.088,R021
C01288,R0024,TRK036,rail,451.0,1623.6,399.28,403.32,73.14,857.94,130.84,0.0,3488.13,2.59,7.73,0.902,R024
C01289,R0070,TRK026,road,295.7,1715.06,625.55,1369.31,197.54,372.12,645.32,0.0,4924.91,2.18,16.66,0.901,R070
C01290,R0089,TRK027,local,114.0,934.8,352.39,741.41,26.79,203.05,63.01,0.0,2321.45,0.69,20.36,1.02,R089
C01291,R0046,TRK024,rail,128.6,462.96,113.16,425.12,22.26,252.33,402.44,0.0,1678.26,0.52,13.05,1.226,R046
C01292,R0024,TRK040,rail,489.7,1762.92,417.48,456.27,75.94,427.07,608.65,0.0,3748.34,1.73,7.65,0.966,R024
C01293,R0061,TRK046,rail,77.4,278.64,59.15,378.94,11.72,269.4,99.84,0.0,1097.69,2.97,14.18,1.207,R061
C01294,R0097,TRK048,road,291.7,1691.86,684.25,1266.89,204.93,336.17,305.25,0.0,4489.35,13.96,15.39,1.018,R097
C01295,R0098,TRK011,road,204.7,1187.26,406.29,1401.78,133.91,554.51,378.37,0.0,4062.11,0.82,19.84,1.061,R098
C01296,R0003,TRK049,road,243.2,1410.56,590.23,1381.33,146.84,200.77,89.81,450.61,4270.15,1.26,17.56,1.13,R003
C01297,R0045,TRK039,road,33.0,191.4,80.05,1400.79,19.97,624.16,331.07,0.0,2647.43,1.29,80.23,0.967,R045
C01298,R0060,TRK040,road,76.4,443.12,169.71,1377.95,58.13,853.74,678.46,403.89,3985.0,1.72,52.16,1.049,R060
C01299,R0031,TRK028,road,348.9,2023.62,762.34,1306.58,293.95,835.53,249.74,1713.33,7185.09,2.83,20.59,1.047,R031
C01300,R0084,TRK028,road,391.5,2270.7,887.0,1366.32,269.16,407.02,371.7,846.21,6418.11,2.41,16.39,0.965,R084
C01301,R0088,TRK035,road,60.9,353.22,132.56,1377.83,37.97,444.24,588.37,0.0,2934.19,0.76,48.18,1.172,R088
C01302,R0094,TRK046,road,316.6,1836.28,677.58,1117.91,202.21,613.09,66.8,91.24,4605.1,12.85,14.55,1.102,R094
C01303,R0064,TRK050,road,81.2,470.96,159.03,1132.46,71.75,800.95,245.21,0.0,2880.36,0.68,35.47,1.177,R064
C01304,R0022,TRK005,rail,175.0,630.0,148.17,464.16,25.5,710.44,203.15,597.76,2779.18,0.94,15.88,1.038,R022
C01305,R0013,TRK049,rail,315.5,1135.8,265.83,395.23,39.21,511.95,697.0,0.0,3045.02,0.92,9.65,0.949,R013
C01306,R0004,TRK022,road,430.0,2494.0,890.13,1046.09,283.13,168.99,132.16,1133.03,6147.52,2.21,14.3,1.097,R004
C01307,R0091,TRK023,local,116.0,951.2,297.38,957.06,27.96,376.69,175.53,0.0,2785.82,1.06,24.02,0.9,R091
C01308,R0093,TRK043,rail,202.1,727.56,153.2,364.24,36.11,333.89,45.76,0.0,1660.76,1.01,8.22,1.144,R093
C01309,R0049,TRK047,rail,278.8,1003.68,205.73,391.74,33.5,652.07,230.63,0.0,2517.35,0.57,9.03,1.087,R049
C01310,R0022,TRK005,rail,434.5,1564.2,306.12,526.41,65.99,874.34,461.12,0.0,3798.17,2.3,8.74,1.178,R022
C01311,R0074,TRK033,road,454.2,2634.36,953.75,1304.61,303.61,679.87,346.62,98.75,6321.57,1.31,13.92,1.067,R074
C01312,R0045,TRK042,road,487.9,2829.82,1030.33,1331.98,345.7,658.99,646.43,260.72,7103.98,5.84,14.56,0.947,R045
C01313,R0087,TRK007,local,60.5,496.1,146.53,841.81,15.43,422.18,146.19,0.0,2068.23,0.82,34.19,1.22,R087
C01314,R0042,TRK023,local,469.3,3848.26,1454.82,737.89,100.63,823.96,77.13,0.0,7042.68,4.95,15.01,1.204,R042
C01315,R0066,TRK023,road,236.6,1372.28,522.01,994.69,200.13,486.88,573.71,1311.17,5460.86,1.2,23.08,0.956,R066
C01316,R0074,TRK014,road,372.5,2160.5,697.04,1042.28,239.47,698.32,648.01,0.0,5485.62,2.25,14.73,0.923,R074
C01317,R0011,TRK040,road,224.8,1303.84,480.69,1332.7,142.84,697.7,446.38,0.0,4404.15,2.3,19.59,1.089,R011
C01318,R0007,TRK014,road,237.3,1376.34,478.86,1341.1,197.19,395.83,254.67,1286.18,5330.17,5.04,22.46,0.957,R007
C01319,R0068,TRK024,local,395.3,3241.46,957.61,826.18,112.33,634.4,84.84,1560.54,7417.36,2.39,18.76,1.146,R068
C01320,R0055,TRK042,road,469.9,2725.42,1094.86,1357.58,364.17,408.88,79.3,1564.2,7594.42,11.7,16.16,1.052,R055
C01321,R0008,TRK018,road,525.1,3045.58,1279.39,1229.3,364.26,321.83,30.17,1018.09,7288.63,4.27,13.88,1.223,R008
C01322,R0075,TRK043,road,127.4,738.92,270.67,1224.88,90.49,211.22,298.17,545.54,3379.87,10.06,26.53,1.007,R075
C01323,R0006,TRK036,road,491.8,2852.44,1172.38,1385.18,417.89,884.8,489.07,0.0,7201.76,5.9,14.64,0.957,R006
C01324,R0032,TRK041,local,303.5,2488.7,829.07,1049.45,69.79,774.86,27.38,0.0,5239.25,3.03,17.26,1.166,R032
C01325,R0015,TRK019,local,264.7,2170.54,707.21,844.99,59.62,384.46,156.12,0.0,4322.94,9.48,16.33,0.908,R015
C01326,R0067,TRK001,rail,355.9,1281.24,319.43,532.02,63.67,830.05,479.73,1375.5,4881.65,0.98,13.72,1.038,R067
C01327,R0088,TRK046,road,392.7,2277.66,734.94,1002.75,309.99,236.45,73.25,0.0,4635.04,10.32,11.8,0.947,R088
C01328,R0023,TRK004,road,382.6,2219.08,751.95,1271.08,283.15,761.02,404.28,0.0,5690.56,2.15,14.87,1.043,R023
C01329,R0100,TRK042,road,284.3,1648.94,592.19,1256.04,189.47,661.3,544.17,0.0,4892.11,1.08,17.21,0.921,R100
C01330,R0009,TRK016,local,136.7,1120.94,394.14,968.36,34.94,609.75,191.25,191.1,3510.49,3.0,25.68,1.144,R009
C01331,R0089,TRK044,road,342.6,1987.08,669.14,1140.77,266.37,774.1,547.45,0.0,5384.91,11.35,15.72,1.015,R089
C01332,R0045,TRK003,road,439.7,2550.26,933.85,994.19,328.67,282.24,328.98,0.0,5418.2,3.23,12.32,1.047,R045
C01333,R0024,TRK009,road,293.1,1699.98,619.64,1310.65,246.83,837.97,42.66,0.0,4757.72,4.22,16.23,1.068,R024
C01334,R0080,TRK010,road,416.6,2416.28,817.94,1394.87,361.26,218.0,24.16,863.33,6095.84,1.49,14.63,1.03,R080
C01335,R0026,TRK014,road,160.3,929.74,378.85,1157.77,135.68,479.08,46.61,0.0,3127.72,0.64,19.51,1.014,R026
C01336,R0065,TRK022,road,76.7,444.86,187.69,982.37,55.81,870.95,95.02,0.0,2636.7,0.96,34.38,0.939,R065
C01337,R0053,TRK030,road,487.0,2824.6,1183.73,1091.74,362.91,422.37,230.9,0.0,6116.25,3.04,12.56,1.16,R053
C01338,R0044,TRK009,road,99.7,578.26,200.65,1078.88,82.55,376.36,476.16,0.0,2792.87,1.78,28.01,1.149,R044
C01339,R0020,TRK023,road,256.6,1488.28,561.54,981.23,173.25,156.77,286.18,207.8,3855.04,7.06,15.02,0.956,R020
C01340,R0074,TRK011,road,222.3,1289.34,509.97,1345.15,193.75,887.99,415.41,0.0,4641.61,2.83,20.88,0.922,R074
C01341,R0002,TRK048,rail,259.4,933.84,200.16,382.87,43.06,443.71,77.85,0.0,2081.5,2.64,8.02,0.91,R002
C01342,R0046,TRK030,road,92.2,534.76,199.04,1393.7,55.58,854.93,435.02,0.0,3473.03,1.05,37.67,0.97,R046
C01343,R0091,TRK038,road,444.3,2576.94,1051.83,1359.33,292.63,420.07,466.05,689.34,6856.19,1.4,15.43,1.165,R091
C01344,R0085,TRK020,road,356.1,2065.38,830.14,1103.88,285.79,401.24,29.22,0.0,4715.65,3.0,13.24,1.059,R085
C01345,R0035,TRK019,road,465.6,2700.48,937.83,1359.73,333.09,802.53,8.06,0.0,6141.72,8.97,13.19,0.965,R035
C01346,R0026,TRK031,road,522.1,3028.18,1069.18,1196.75,457.1,651.79,379.3,0.0,6782.29,2.52,12.99,1.0,R026
C01347,R0072,TRK012,road,288.0,1670.4,702.79,1424.89,237.78,485.8,183.17,0.0,4704.83,10.78,16.34,0.94,R072
C01348,R0005,TRK033,local,62.9,515.78,192.3,1078.51,17.77,872.44,181.14,0.0,2857.94,1.57,45.44,1.017,R005
C01349,R0020,TRK035,road,113.5,658.3,259.8,1432.09,73.34,619.71,223.87,648.58,3915.7,0.79,34.5,1.138,R020
C01350,R0020,TRK020,rail,274.1,986.76,219.43,421.02,39.77,651.22,274.52,0.0,2592.71,0.64,9.46,0.972,R020
C01351,R0022,TRK021,road,538.8,3125.04,1280.55,1064.37,341.27,424.38,381.49,0.0,6617.11,3.29,12.28,0.955,R022
C01352,R0053,TRK042,rail,207.8,748.08,186.57,424.44,32.18,336.27,470.7,752.58,2950.81,0.86,14.2,1.072,R053
C01353,R0047,TRK045,road,201.7,1169.86,465.71,1216.91,130.5,155.19,507.6,0.0,3645.77,3.62,18.08,1.169,R047
C01354,R0057,TRK048,road,189.5,1099.1,397.68,968.17,162.99,235.74,133.99,0.0,2997.67,3.36,15.82,1.189,R057
C01355,R0026,TRK018,local,434.9,3566.18,1121.43,954.2,129.24,527.51,118.83,0.0,6417.4,3.86,14.76,0.996,R026
C01356,R0089,TRK007,road,445.0,2581.0,923.54,1014.97,384.63,729.47,556.92,0.0,6190.52,2.9,13.91,1.01,R089
C01357,R0084,TRK019,rail,413.5,1488.6,344.8,500.84,53.18,196.35,642.95,0.0,3226.72,9.43,7.8,1.073,R084
C01358,R0080,TRK024,rail,333.5,1200.6,294.62,389.96,42.2,872.61,179.56,0.0,2979.54,0.65,8.93,0.99,R080
C01359,R0037,TRK003,rail,38.1,137.16,33.74,394.45,6.09,163.88,608.56,1207.47,2551.35,0.7,66.96,1.02,R037
C01360,R0065,TRK036,road,84.0,487.2,179.52,1190.65,59.72,398.59,253.35,0.0,2569.02,0.67,30.58,1.08,R065
C01361,R0099,TRK004,road,240.3,1393.74,500.0,1411.35,208.55,197.88,180.08,0.0,3891.6,3.84,16.19,0.989,R099
C01362,R0005,TRK025,local,175.5,1439.1,452.38,788.53,50.29,752.85,56.33,0.0,3539.48,1.8,20.17,0.951,R005
C01363,R0058,TRK008,rail,303.0,1090.8,258.99,507.93,52.93,516.81,395.47,0.0,2822.93,0.7,9.32,1.04,R058
C01364,R0099,TRK042,local,426.2,3494.84,1263.68,956.6,92.89,633.2,249.2,707.33,7397.73,1.59,17.36,0.943,R099
C01365,R0007,TRK036,road,382.1,2216.18,827.57,973.98,337.01,773.09,75.36,0.0,5203.18,13.68,13.62,0.942,R007
C01366,R0078,TRK036,local,91.6,751.12,219.05,775.37,25.26,835.93,254.38,178.09,3039.21,0.92,33.18,0.921,R078
C01367,R0045,TRK003,local,524.4,4300.08,1395.97,765.89,130.34,216.91,40.99,961.9,7812.08,1.97,14.9,1.065,R045
C01368,R0022,TRK039,local,102.7,842.14,253.78,738.11,21.49,450.64,26.76,1219.45,3552.37,3.38,34.59,1.21,R022
C01369,R0013,TRK025,rail,151.6,545.76,107.7,401.86,22.42,482.57,670.34,0.0,2230.66,0.45,14.71,0.934,R013
C01370,R0090,TRK007,road,203.4,1179.72,416.81,1391.76,126.35,172.34,88.8,0.0,3375.78,0.97,16.6,0.921,R090
C01371,R0048,TRK047,road,199.5,1157.1,478.92,1114.7,156.28,466.73,639.14,0.0,4012.87,3.09,20.11,1.243,R048
C01372,R0014,TRK020,road,375.3,2176.74,767.83,1405.75,297.21,192.3,122.62,771.92,5734.37,2.03,15.28,1.093,R014
C01373,R0047,TRK024,road,359.7,2086.26,850.44,1210.11,261.2,890.42,637.17,1121.88,7057.5,1.51,19.62,1.227,R047
C01374,R0014,TRK039,road,289.1,1676.78,644.0,979.53,231.67,400.57,35.15,0.0,3967.71,2.59,13.72,0.988,R014
C01375,R0050,TRK035,road,35.7,207.06,86.24,1253.43,21.57,407.9,70.25,941.67,2988.13,0.8,83.7,0.94,R050
C01376,R0057,TRK030,rail,104.9,377.64,91.35,504.48,12.99,503.49,331.83,1100.61,2922.39,0.94,27.86,1.189,R057
C01377,R0090,TRK008,road,316.1,1833.38,631.23,1088.21,228.37,581.43,255.99,366.45,4985.06,1.74,15.77,1.088,R090
C01378,R0035,TRK025,rail,143.0,514.8,112.99,362.2,22.66,234.32,49.51,570.04,1866.53,0.8,13.05,1.047,R035
C01379,R0005,TRK023,local,154.2,1264.44,381.86,844.64,31.84,446.03,208.95,0.0,3177.77,2.87,20.61,0.988,R005
C01380,R0016,TRK005,road,486.1,2819.38,1089.36,1136.08,437.21,300.16,616.14,0.0,6398.31,1.57,13.16,1.19,R016
C01381,R0035,TRK023,road,110.5,640.9,274.06,983.28,83.49,620.01,457.69,0.0,3059.43,1.46,27.69,1.17,R035
C01382,R0085,TRK047,road,508.2,2947.56,1052.37,1002.48,439.0,532.86,575.17,0.0,6549.45,1.36,12.89,1.042,R085
C01383,R0014,TRK031,road,497.0,2882.6,991.89,1257.67,383.14,688.79,644.92,1183.79,8032.79,4.99,16.16,1.224,R014
C01384,R0064,TRK013,road,149.8,868.84,352.69,1152.92,134.13,445.34,358.7,0.0,3312.62,1.18,22.11,1.099,R064
C01385,R0062,TRK017,road,33.3,193.14,81.38,1042.14,20.6,873.67,683.4,0.0,2894.32,1.21,86.92,0.901,R062
C01386,R0034,TRK022,road,98.5,571.3,207.52,1025.16,79.48,221.57,480.14,0.0,2585.18,0.74,26.25,0.906,R034
C01387,R0098,TRK024,rail,139.3,501.48,103.82,420.91,20.76,708.38,538.86,490.33,2784.55,0.81,19.99,1.178,R098
C01388,R0023,TRK040,road,381.1,2210.38,936.49,1018.32,264.06,868.87,501.16,1701.18,7500.47,5.62,19.68,1.185,R023
C01389,R0049,TRK044,local,381.7,3129.94,989.24,867.42,99.76,387.9,157.37,0.0,5631.62,2.92,14.75,1.206,R049
C01390,R0020,TRK015,road,214.9,1246.42,466.22,1285.33,148.18,339.0,103.47,0.0,3588.62,0.98,16.7,1.048,R020
C01391,R0098,TRK007,road,69.5,403.1,148.82,1315.81,53.37,888.86,383.48,893.18,4086.62,1.54,58.8,0.987,R098
C01392,R0060,TRK007,local,487.7,3999.14,1399.93,890.19,136.02,168.82,185.7,0.0,6779.8,1.36,13.9,1.096,R060
C01393,R0064,TRK010,road,495.6,2874.48,1043.62,1055.76,374.85,775.82,684.11,444.13,7252.77,2.64,14.63,1.205,R064
C01394,R0014,TRK033,rail,478.3,1721.88,371.2,411.88,64.95,800.41,64.62,1397.86,4832.79,3.31,10.1,1.027,R014
C01395,R0030,TRK034,rail,149.6,538.56,132.98,362.35,18.27,300.9,602.2,0.0,1955.25,0.7,13.07,1.222,R030
C01396,R0010,TRK015,local,167.1,1370.22,509.45,897.45,37.54,456.0,197.27,0.0,3467.92,1.16,20.75,1.038,R010
C01397,R0065,TRK004,rail,134.6,484.56,108.85,491.44,18.07,556.62,30.56,268.6,1958.7,0.54,14.55,1.204,R065
C01398,R0093,TRK025,local,123.1,1009.42,336.95,1058.98,26.83,869.81,114.65,0.0,3416.64,0.95,27.75,0.996,R093
C01399,R0007,TRK048,road,507.9,2945.82,1140.36,1361.32,353.65,550.02,408.25,0.0,6759.41,1.38,13.31,0.982,R007
C01400,R0041,TRK013,rail,227.7,819.72,177.55,485.21,37.42,556.09,482.74,621.28,3180.02,0.74,13.97,1.044,R041
C01401,R0009,TRK033,rail,425.4,1531.44,293.27,365.81,73.44,223.49,4.59,795.75,3287.78,1.19,7.73,1.149,R009
C01402,R0066,TRK033,rail,476.8,1716.48,409.46,517.5,75.16,821.04,275.09,110.89,3925.62,0.9,8.23,1.099,R066
C01403,R0072,TRK046,local,522.8,4286.96,1389.39,947.82,105.24,799.24,162.53,0.0,7691.17,2.2,14.71,1.185,R072
C01404,R0046,TRK003,road,139.7,810.26,294.69,1305.45,121.72,175.26,613.38,845.75,4166.51,3.98,29.82,1.025,R046
C01405,R0094,TRK024,road,46.7,270.86,114.43,1177.88,33.19,298.19,302.57,0.0,2197.13,2.13,47.05,1.106,R094
C01406,R0029,TRK042,road,177.1,1027.18,366.79,1126.31,107.09,438.97,653.33,0.0,3719.67,1.08,21.0,1.125,R029
C01407,R0084,TRK003,rail,473.0,1702.8,408.48,412.69,60.76,273.98,502.49,0.0,3361.2,0.68,7.11,1.123,R084
C01408,R0018,TRK048,road,287.8,1669.24,674.5,1417.48,183.44,379.2,658.24,0.0,4982.09,1.07,17.31,0.919,R018
C01409,R0039,TRK040,road,212.1,1230.18,529.51,1407.6,174.16,319.99,550.45,0.0,4211.88,1.32,19.86,1.163,R039
C01410,R0014,TRK013,local,120.3,986.46,336.58,939.21,25.66,659.76,160.79,0.0,3108.45,1.02,25.84,0.953,R014
C01411,R0060,TRK039,road,324.9,1884.42,707.86,1310.88,258.79,600.02,327.3,0.0,5089.26,2.65,15.66,1.099,R060
C01412,R0029,TRK012,rail,166.1,597.96,131.9,418.37,27.35,359.67,332.5,1595.82,3463.58,8.27,20.85,1.195,R029
C01413,R0095,TRK020,road,365.0,2117.0,741.27,1382.59,265.51,619.98,310.48,0.0,5436.81,1.46,14.9,1.236,R095
C01414,R0009,TRK019,road,128.0,742.4,255.5,1097.2,109.63,625.15,115.05,0.0,2944.92,1.45,23.01,0.97,R009
C01415,R0011,TRK017,road,493.4,2861.72,1114.49,1183.09,313.85,452.45,386.74,226.2,6538.53,12.32,13.25,1.093,R011
C01416,R0001,TRK015,road,258.1,1496.98,592.18,1019.75,190.77,671.63,538.48,0.0,4509.78,1.18,17.47,1.101,R001
C01417,R0042,TRK047,local,259.0,2123.8,747.49,1039.32,75.52,741.69,10.76,0.0,4738.58,1.43,18.3,1.239,R042
C01418,R0089,TRK015,local,529.6,4342.72,1367.54,885.12,125.2,636.84,25.68,0.0,7383.09,3.48,13.94,0.982,R089
C01419,R0011,TRK027,road,447.3,2594.34,1059.84,1054.15,371.85,514.31,147.02,0.0,5741.51,10.21,12.84,1.246,R011
C01420,R0067,TRK004,local,233.9,1917.98,613.17,971.51,48.68,690.82,192.3,0.0,4434.47,2.31,18.96,1.185,R067
C01421,R0075,TRK039,local,167.8,1375.96,466.78,982.71,50.08,392.84,154.68,0.0,3423.05,0.72,20.4,1.045,R075
C01422,R0060,TRK003,road,92.7,537.66,180.67,1363.01,74.54,521.56,99.49,830.74,3607.67,1.34,38.92,1.132,R060
C01423,R0075,TRK026,rail,428.4,1542.24,335.01,509.18,61.78,587.21,156.99,536.85,3729.26,0.76,8.71,0.966,R075
C01424,R0008,TRK028,rail,346.7,1248.12,299.9,445.38,44.07,286.54,545.44,0.0,2869.43,0.94,8.28,1.104,R008
C01425,R0059,TRK019,road,73.1,423.98,155.46,1419.41,60.24,881.26,423.52,0.0,3363.87,10.33,46.02,1.089,R059
C01426,R0071,TRK049,local,169.8,1392.36,507.97,816.65,36.69,778.57,290.42,483.27,4305.93,1.2,25.36,1.249,R071
C01427,R0087,TRK049,road,493.8,2864.04,1137.8,1235.01,428.61,545.76,206.24,0.0,6417.46,2.96,13.0,0.932,R087
C01428,R0098,TRK033,local,224.8,1843.36,715.05,728.69,46.83,758.16,29.88,0.0,4121.98,1.4,18.34,0.927,R098
C01429,R0066,TRK012,local,188.0,1541.6,585.27,1048.88,43.47,610.29,81.21,1055.94,4966.65,1.24,26.42,0.965,R066
C01430,R0065,TRK044,road,219.6,1273.68,485.5,1136.41,172.46,486.59,204.15,630.52,4389.31,1.65,19.99,1.217,R065
C01431,R0034,TRK032,road,181.0,1049.8,352.89,1320.12,127.29,686.41,58.15,0.0,3594.66,1.15,19.86,1.169,R034
C01432,R0002,TRK018,road,443.8,2574.04,847.63,1337.55,339.26,385.38,493.83,0.0,5977.7,1.77,13.47,1.079,R002
C01433,R0081,TRK049,road,343.5,1992.3,705.37,1413.36,246.41,532.7,140.88,0.0,5031.01,1.43,14.65,1.224,R081
C01434,R0058,TRK023,local,71.2,583.84,188.67,1026.8,17.87,370.66,154.63,0.0,2342.47,5.26,32.9,0.989,R058
C01435,R0030,TRK016,road,272.0,1577.6,554.06,1313.87,183.05,349.21,614.15,0.0,4591.92,2.62,16.88,1.204,R030
