handling_id,shipment_id,route_id,hub_id,vehicle_id,transfer_type,product_category,cargo_weight_kg,arrival_timestamp,departure_timestamp,handling_time_hours,loading_time_hours,unloading_time_hours,queue_time_hours,temperature_during_handling_c,temperature_excursion,damage_incident,handling_cost,transfer_delay_hours,route_id_raw,shipment_id_raw,hub_id_raw,hub_number,hub_id_mapped
H00984,HS001203,R0096,HUB20,TRK042,vehicle_change,vegetables,599.2,2025-09-09 07:31:00,2025-09-09 08:45:24,0.45,0.64,1.2,0.79,5.91,0,0,341.28,0.92,R096,S01203,HUB20,20,
H00985,HS000319,R0043,HUB05,TRK002,vehicle_change,rice,375.0,2025-01-16 06:15:00,2025-01-16 08:36:00,1.56,1.19,0.99,0.79,24.94,0,0,680.92,1.36,R043,S00319,HUB05,5,H005
H00986,HS000570,R0040,HUB11,TRK001,warehouse,rice,262.5,2026-04-21 13:08:00,2026-04-21 13:54:12,0.36,0.67,0.99,0.41,23.66,0,0,439.61,0.71,R040,S00570,HUB11,11,H011
H00987,HS000119,R0081,HUB06,TRK027,mode_change,rice,555.7,2026-06-14 19:57:00,2026-06-14 22:37:48,1.32,0.64,0.66,1.36,19.77,0,0,585.09,1.6,R081,S00119,HUB06,6,H006
H00988,HS000686,R0049,HUB12,TRK014,vehicle_change,dairy,1069.1,2026-03-17 05:27:00,2026-03-17 07:53:24,1.11,0.36,0.75,1.33,7.37,0,0,474.2,1.79,R049,S00686,HUB12,12,H012
H00989,HS000941,R0037,HUB16,TRK011,mode_change,grains,620.6,2025-07-24 04:28:00,2025-07-24 07:14:48,2.5,0.39,0.41,0.28,28.43,0,0,813.32,1.02,R037,S00941,HUB16,16,
H00990,HS000222,R0094,HUB20,TRK023,mode_change,mango,1864.9,2026-05-27 19:55:00,2026-05-27 21:33:24,0.93,0.46,0.79,0.71,9.03,0,0,576.18,1.03,R094,S00222,HUB20,20,
H00991,HS000740,R0077,HUB02,TRK024,cross_dock,rice,1281.0,2025-07-14 04:47:00,2025-07-14 06:50:00,1.79,0.19,0.85,0.26,21.83,0,0,643.11,0.64,R077,S00740,HUB02,2,H002
H00992,HS001351,R0008,HUB07,TRK028,vehicle_change,vegetables,647.5,2026-08-21 16:04:00,2026-08-21 18:43:00,2.45,1.15,0.42,0.2,7.32,0,0,769.41,0.64,R008,S01351,HUB07,7,H007
H00993,HS001356,R0094,HUB01,TRK008,cross_dock,vegetables,1689.0,2025-08-27 10:37:00,2025-08-27 12:23:48,1.54,0.15,0.62,0.24,7.79,0,0,620.63,0.83,R094,S01356,HUB01,1,H001
H00994,HS000082,R0076,HUB07,TRK030,vehicle_change,mango,850.7,2026-04-12 23:23:00,2026-04-13 02:32:36,1.87,0.62,0.83,1.29,11.53,0,0,718.01,2.0,R076,S00082,HUB07,7,H007
H00995,HS001500,R0073,HUB06,TRK017,mode_change,vegetables,1070.6,2025-04-16 09:30:00,2025-04-16 11:16:48,0.32,0.38,1.21,1.46,6.11,0,1,773.36,1.64,R073,S01500,HUB06,6,H006
H00996,HS000067,R0060,HUB05,TRK028,vehicle_change,pharma,90.0,2026-02-05 18:21:00,2026-02-05 19:55:48,1.43,0.22,0.43,0.15,7.38,0,0,428.16,0.61,R060,S00067,HUB05,5,H005
H00997,HS000528,R0076,HUB17,TRK013,vehicle_change,fish,1495.3,2026-07-21 08:32:00,2026-07-21 11:31:24,2.47,0.98,0.54,0.52,2.46,0,0,816.89,1.26,R076,S00528,HUB17,17,
H00998,HS000305,R0020,HUB15,TRK035,warehouse,grains,1309.5,2025-05-05 01:57:00,2025-05-05 05:59:24,1.5,0.36,0.56,2.54,28.43,0,0,686.83,2.81,R020,S00305,HUB15,15,H015
H00999,HS001396,R0073,HUB18,TRK026,cross_dock,pharma,918.4,2026-06-21 07:51:00,2026-06-21 10:13:48,1.17,0.76,0.88,1.21,2.79,0,0,596.15,1.57,R073,S01396,HUB18,18,
H01000,HS000888,R0050,HUB06,TRK010,vehicle_change,rice,218.0,2025-04-20 22:31:00,2025-04-20 23:10:00,0.62,0.21,0.5,0.03,26.12,0,0,398.58,0.31,R050,S00888,HUB06,6,H006
H01001,HS001091,R0014,HUB17,TRK007,warehouse,fish,1467.9,2025-12-27 14:46:00,2025-12-27 17:31:36,2.0,0.9,0.9,0.76,2.84,0,0,729.04,1.16,R014,S01091,HUB17,17,
H01002,HS000280,R0095,HUB10,TRK024,vehicle_change,vegetables,1123.7,2025-04-04 00:51:00,2025-04-04 01:45:00,0.53,0.75,0.71,0.37,7.54,0,0,318.75,0.56,R095,S00280,HUB10,10,H010
H01003,HS001402,R0005,HUB19,TRK020,cross_dock,rice,1480.8,2025-12-10 05:27:00,2025-12-10 07:30:36,1.73,0.85,0.51,0.33,18.42,0,0,583.86,0.93,R005,S01402,HUB19,19,
H01004,HS001166,R0075,HUB05,TRK011,vehicle_change,fish,910.3,2025-04-20 03:02:00,2025-04-20 05:29:36,2.23,1.17,1.05,0.23,3.71,0,0,621.02,0.82,R075,S01166,HUB05,5,H005
H01005,HS000738,R0062,HUB15,TRK017,cross_dock,vegetables,1870.6,2025-02-03 23:18:00,2025-02-04 01:41:24,1.38,0.49,0.81,1.01,7.87,0,0,581.94,1.41,R062,S00738,HUB15,15,H015
H01006,HS001202,R0047,HUB05,TRK001,mode_change,vegetables,1725.4,2026-07-03 19:42:00,2026-07-03 22:27:00,1.47,0.8,0.26,1.28,5.37,0,0,680.08,1.87,R047,S01202,HUB05,5,H005
H01007,HS000910,R0033,HUB08,TRK023,warehouse,fish,953.0,2026-04-18 21:42:00,2026-04-18 22:50:24,0.48,0.86,0.28,0.66,3.6,0,0,379.54,1.18,R033,S00910,HUB08,8,H008
H01008,HS001029,R0055,HUB16,TRK022,vehicle_change,vegetables,774.2,2025-02-10 21:33:00,2025-02-10 22:48:00,1.08,0.86,0.94,0.17,5.71,0,0,427.41,0.5,R055,S01029,HUB16,16,
H01009,HS001346,R0017,HUB12,TRK023,vehicle_change,dairy,955.0,2025-01-04 01:26:00,2025-01-04 03:57:48,2.26,0.35,0.94,0.27,2.31,0,0,599.9,0.96,R017,S01346,HUB12,12,H012
H01010,HS000256,R0044,HUB10,TRK031,mode_change,grains,969.7,2025-12-13 15:36:00,2025-12-13 16:48:00,0.97,0.23,1.14,0.23,27.26,0,0,401.92,0.5,R044,S00256,HUB10,10,H010
H01011,HS001135,R0097,HUB08,TRK013,warehouse,pharma,1940.6,2025-02-25 05:03:00,2025-02-25 07:18:36,2.09,0.44,0.97,0.17,6.28,0,0,645.82,0.83,R097,S01135,HUB08,8,H008
H01012,HS001398,R0047,HUB15,TRK050,mode_change,dairy,1318.9,2025-09-25 01:48:00,2025-09-25 08:05:38,1.98,1.06,0.86,4.313956003358214,3.01,0,0,1042.95,4.67,R047,S01398,HUB15,15,H015
H01013,HS000330,R0018,HUB12,TRK028,vehicle_change,dairy,743.5,2025-01-13 01:14:00,2025-01-13 03:49:24,2.07,0.24,0.19,0.52,4.33,0,0,739.32,1.26,R018,S00330,HUB12,12,H012
H01014,HS001117,R0064,HUB11,TRK047,warehouse,grains,1549.7,2026-02-26 11:04:00,2026-02-26 11:58:00,0.5,0.88,0.3,0.4,24.87,0,0,334.06,0.66,R064,S01117,HUB11,11,H011
H01015,HS000180,R0016,HUB16,TRK029,vehicle_change,pharma,488.1,2025-07-19 11:21:00,2025-07-19 13:02:24,1.22,0.63,0.34,0.47,3.64,0,0,454.37,0.81,R016,S00180,HUB16,16,
H01016,HS001286,R0004,HUB15,TRK020,cross_dock,mango,882.8,2025-11-19 03:43:00,2025-11-19 04:47:12,0.71,0.54,1.21,0.36,11.98,0,0,395.42,0.57,R004,S01286,HUB15,15,H015
H01017,HS001045,R0054,HUB05,TRK003,vehicle_change,pharma,714.9,2026-06-07 21:43:00,2026-06-07 23:19:00,1.4,0.28,0.9,0.2,6.21,0,0,489.4,0.57,R054,S01045,HUB05,5,H005
H01018,HS000731,R0060,HUB01,TRK012,warehouse,rice,1283.8,2026-02-09 06:46:00,2026-02-09 08:19:00,0.89,0.67,0.67,0.66,30.55,0,0,555.98,1.29,R060,S00731,HUB01,1,H001
H01019,HS000491,R0036,HUB13,TRK012,vehicle_change,dairy,697.1,2026-07-18 18:32:00,2026-07-18 20:00:48,1.4,1.06,1.3,0.08,2.64,0,0,656.32,0.3,R036,S00491,HUB13,13,H013
H01020,HS000467,R0067,HUB19,TRK002,cross_dock,dairy,1748.8,2025-11-29 23:23:00,2025-11-30 00:57:48,0.43,0.7,0.5,1.15,2.2,0,1,907.74,1.63,R067,S00467,HUB19,19,
H01021,HS001428,R0099,HUB14,TRK009,mode_change,pharma,603.0,2026-02-20 16:32:00,2026-02-20 18:18:12,1.57,0.35,0.33,0.2,6.17,0,0,511.22,0.51,R099,S01428,HUB14,14,H014
H01022,HS001111,R0085,HUB08,TRK042,cross_dock,mango,1816.3,2026-04-27 15:33:00,2026-04-27 16:36:00,0.77,0.9,0.61,0.28,10.08,0,0,319.83,0.68,R085,S01111,HUB08,8,H008
H01023,HS000351,R0075,HUB15,TRK048,warehouse,fish,515.6,2025-12-17 10:04:00,2025-12-17 11:25:00,0.7,0.93,0.52,0.65,0.52,0,0,441.1,1.18,R075,S00351,HUB15,15,H015
H01024,HS001468,R0026,HUB07,TRK010,vehicle_change,pharma,1266.7,2026-07-03 04:21:00,2026-07-03 06:41:24,0.41,0.84,0.57,1.93,4.49,0,0,479.5,2.44,R026,S01468,HUB07,7,H007
H01025,HS000835,R0069,HUB01,TRK043,vehicle_change,dairy,1266.9,2026-05-23 11:13:00,2026-05-23 15:52:36,1.41,1.01,0.77,3.25,6.94,0,0,835.27,3.92,R069,S00835,HUB01,1,H001
H01026,HS001011,R0043,HUB11,TRK032,cross_dock,fish,1124.5,2026-04-11 16:54:00,2026-04-11 20:04:48,1.0,1.03,0.36,2.18,1.19,0,0,675.37,2.59,R043,S01011,HUB11,11,H011
H01027,HS000933,R0047,HUB16,TRK038,cross_dock,grains,105.0,2025-10-27 21:01:00,2025-10-27 23:10:00,2.02,1.02,1.11,0.13,26.87,0,0,589.71,0.91,R047,S00933,HUB16,16,
H01028,HS001344,R0017,HUB02,TRK035,warehouse,vegetables,1245.4,2025-10-14 20:51:00,2025-10-14 22:52:48,1.33,1.18,0.75,0.7,7.01,0,0,486.66,1.26,R017,S01344,HUB02,2,H002
H01029,HS000228,R0073,HUB04,TRK040,warehouse,rice,1122.7,2025-07-14 12:46:00,2025-07-14 16:38:48,1.44,0.78,0.76,2.44,18.57,0,0,650.81,2.99,R073,S00228,HUB04,4,H004
H01030,HS000916,R0028,HUB18,TRK050,vehicle_change,rice,486.0,2026-04-16 06:53:00,2026-04-16 09:03:12,1.8,0.58,0.96,0.37,26.79,0,0,605.89,0.86,R028,S00916,HUB18,18,
H01031,HS000155,R0018,HUB06,TRK030,mode_change,dairy,1974.6,2026-07-16 00:20:00,2026-07-16 04:30:48,0.22,0.65,0.65,3.96,5.56,0,0,630.28,4.0,R018,S00155,HUB06,6,H006
H01032,HS000508,R0005,HUB03,TRK013,cross_dock,fish,1074.8,2026-03-17 09:10:00,2026-03-17 13:14:12,2.05,0.97,0.39,2.02,3.26,0,0,799.91,2.52,R005,S00508,HUB03,3,H003
H01033,HS001258,R0024,HUB16,TRK010,mode_change,pharma,1163.0,2026-06-15 11:52:00,2026-06-15 13:31:00,0.92,0.51,1.23,0.73,6.93,0,0,618.31,1.31,R024,S01258,HUB16,16,
H01034,HS001036,R0093,HUB03,TRK026,cross_dock,rice,1928.7,2025-05-28 09:46:00,2025-05-28 11:47:48,1.65,0.44,0.54,0.38,22.55,0,0,494.03,0.86,R093,S01036,HUB03,3,H003
H01035,HS000108,R0089,HUB03,TRK049,warehouse,pharma,329.3,2025-04-02 06:34:00,2025-04-02 08:16:00,0.93,0.59,0.89,0.77,2.29,0,0,554.6,1.33,R089,S00108,HUB03,3,H003
H01036,HS001465,R0023,HUB05,TRK036,vehicle_change,vegetables,1855.6,2025-03-05 20:10:00,2025-03-05 22:22:00,0.41,0.67,1.0,1.79,4.81,0,0,463.75,1.93,R023,S01465,HUB05,5,H005
H01037,HS001232,R0070,HUB06,TRK031,warehouse,pharma,639.4,2026-04-20 21:25:00,2026-04-21 01:19:36,0.95,1.07,0.63,2.96,7.43,0,0,665.06,3.44,R070,S01232,HUB06,6,H006
H01038,HS000062,R0023,HUB17,TRK046,cross_dock,mango,564.0,2025-09-15 18:35:00,2025-09-15 19:26:00,0.74,0.67,0.43,0.11,10.44,0,0,443.28,0.25,R023,S00062,HUB17,17,
H01039,HS000448,R0099,HUB11,TRK019,warehouse,rice,1811.6,2026-02-20 13:27:00,2026-02-20 15:54:00,1.95,1.05,1.04,0.5,25.65,0,0,740.86,0.88,R099,S00448,HUB11,11,H011
H01040,HS000532,R0060,HUB01,TRK050,vehicle_change,vegetables,1515.4,2026-06-07 02:57:00,2026-06-07 04:03:36,0.85,0.53,1.17,0.26,5.63,0,0,437.92,0.84,R060,S00532,HUB01,1,H001
H01041,HS001015,R0097,HUB09,TRK048,mode_change,rice,795.2,2025-03-29 04:19:00,2025-03-29 06:17:12,1.76,0.15,1.22,0.21,25.3,0,0,715.0,0.7,R097,S01015,HUB09,9,H009
H01042,HS001362,R0080,HUB12,TRK005,vehicle_change,mango,377.5,2025-06-04 20:33:00,2025-06-04 22:31:48,1.33,0.75,0.77,0.65,9.78,0,0,500.11,1.18,R080,S01362,HUB12,12,H012
H01043,HS000272,R0077,HUB07,TRK004,cross_dock,vegetables,230.7,2025-09-28 00:01:00,2025-09-28 02:46:00,2.09,0.55,0.97,0.66,6.12,0,0,669.68,1.42,R077,S00272,HUB07,7,H007
H01044,HS000613,R0089,HUB18,TRK044,vehicle_change,fish,902.6,2026-05-23 00:34:00,2026-05-23 01:13:00,0.31,0.34,1.21,0.34,0.01,0,0,421.31,0.49,R089,S00613,HUB18,18,
H01045,HS000819,R0061,HUB04,TRK008,cross_dock,grains,598.7,2025-10-27 00:07:00,2025-10-27 02:59:12,2.25,0.28,0.36,0.62,21.64,0,0,661.14,1.28,R061,S00819,HUB04,4,H004
H01046,HS001314,R0095,HUB12,TRK016,cross_dock,mango,717.0,2025-05-11 20:35:00,2025-05-11 23:13:24,1.37,0.72,0.16,1.27,11.83,0,0,623.72,1.85,R095,S01314,HUB12,12,H012
H01047,HS000140,R0067,HUB06,TRK005,mode_change,rice,1353.5,2025-06-14 15:14:00,2025-06-14 17:29:00,2.01,0.91,1.12,0.24,26.83,0,0,774.27,0.73,R067,S00140,HUB06,6,H006
H01048,HS001299,R0098,HUB20,TRK027,mode_change,vegetables,1901.4,2025-11-07 23:08:00,2025-11-08 01:50:36,2.17,0.37,0.38,0.54,5.02,0,0,811.27,0.95,R098,S01299,HUB20,20,
H01049,HS000024,R0032,HUB20,TRK018,vehicle_change,grains,416.2,2025-08-27 03:18:00,2025-08-27 06:32:24,2.21,0.66,1.24,1.03,25.48,0,0,734.12,1.52,R032,S00024,HUB20,20,
H01050,HS000149,R0045,HUB01,TRK040,warehouse,grains,1050.4,2026-02-26 08:00:00,2026-02-26 12:20:25,1.22,0.92,0.32,3.1205015888579952,23.88,0,0,710.1,3.67,R045,S00149,HUB01,1,H001
H01051,HS000748,R0029,HUB05,TRK003,warehouse,fish,1277.3,2026-01-10 04:01:00,2026-01-10 05:03:24,0.44,0.8,0.31,0.6,3.02,0,0,482.46,0.82,R029,S00748,HUB05,5,H005
H01052,HS000855,R0067,HUB19,TRK048,vehicle_change,mango,826.2,2026-04-24 19:14:00,2026-04-24 21:44:00,2.01,0.25,0.22,0.49,9.33,0,0,723.42,0.93,R067,S00855,HUB19,19,
H01053,HS000358,R0011,HUB13,TRK026,mode_change,vegetables,610.6,2026-05-30 05:28:00,2026-05-30 07:50:12,1.73,0.43,0.21,0.64,4.35,0,0,518.01,0.91,R011,S00358,HUB13,13,H013
H01054,HS000991,R0045,HUB20,TRK024,warehouse,vegetables,1321.0,2026-08-08 21:36:00,2026-08-09 01:08:24,1.79,0.16,0.42,1.75,5.62,0,0,779.1,2.37,R045,S00991,HUB20,20,
H01055,HS001015,R0003,HUB05,TRK023,cross_dock,fish,1474.6,2026-04-16 09:32:00,2026-04-16 13:23:36,2.21,0.37,0.99,1.65,1.05,0,0,791.66,2.38,R003,S01015,HUB05,5,H005
H01056,HS001231,R0008,HUB20,TRK003,warehouse,rice,1771.0,2025-03-13 13:01:00,2025-03-13 14:40:36,1.61,1.05,0.42,0.05,21.69,0,0,581.3,0.57,R008,S01231,HUB20,20,
H01057,HS000447,R0012,HUB08,TRK016,vehicle_change,vegetables,1064.4,2025-06-17 13:39:00,2025-06-17 17:40:48,0.56,0.53,0.54,3.47,4.28,0,0,662.44,3.67,R012,S00447,HUB08,8,H008
H01058,HS000649,R0003,HUB20,TRK009,cross_dock,vegetables,1173.0,2025-11-02 20:01:00,2025-11-02 21:52:36,1.72,0.21,1.19,0.14,4.25,0,0,674.84,0.49,R003,S00649,HUB20,20,
H01059,HS000700,R0029,HUB04,TRK039,vehicle_change,rice,760.7,2025-05-23 00:41:00,2025-05-23 05:29:04,1.35,0.94,0.7,3.4512868718130583,28.31,0,0,856.67,3.81,R029,S00700,HUB04,4,H004
H01060,HS000260,R0010,HUB18,TRK047,mode_change,vegetables,150.2,2025-02-08 08:22:00,2025-02-08 09:31:00,1.13,1.17,0.39,0.02,7.91,0,0,365.83,0.27,R010,S00260,HUB18,18,
H01061,HS000628,R0057,HUB03,TRK003,cross_dock,pharma,1949.7,2026-06-09 05:59:00,2026-06-09 06:40:24,0.27,0.8,1.02,0.42,3.09,0,0,425.98,0.89,R057,S00628,HUB03,3,H003
H01062,HS000238,R0089,HUB09,TRK045,cross_dock,rice,730.7,2026-06-23 09:28:00,2026-06-23 10:28:36,0.47,0.28,1.15,0.54,21.01,0,0,324.74,0.81,R089,S00238,HUB09,9,H009
H01063,HS000065,R0092,HUB18,TRK047,warehouse,grains,902.5,2025-12-29 11:28:00,2025-12-29 13:56:48,0.4,0.82,0.45,2.08,27.55,0,0,531.12,2.38,R092,S00065,HUB18,18,
H01064,HS000491,R0018,HUB12,TRK025,warehouse,pharma,856.6,2026-01-18 14:44:00,2026-01-18 17:09:12,0.42,0.36,0.36,2.0,4.1,0,0,553.89,2.12,R018,S00491,HUB12,12,H012
H01065,HS000039,R0008,HUB04,TRK048,cross_dock,dairy,1210.0,2025-06-29 21:05:00,2025-06-29 23:08:36,1.73,0.7,0.87,0.33,3.35,0,0,554.78,0.91,R008,S00039,HUB04,4,H004
H01066,HS000842,R0066,HUB20,TRK024,warehouse,dairy,1485.5,2026-03-01 16:10:00,2026-03-01 18:49:00,2.13,0.58,0.21,0.52,3.84,0,0,651.71,0.85,R066,S00842,HUB20,20,
H01067,HS001194,R0023,HUB12,TRK038,vehicle_change,mango,1939.1,2025-05-01 04:10:00,2025-05-01 07:37:36,1.32,0.24,0.46,2.14,9.15,0,0,731.61,2.82,R023,S01194,HUB12,12,H012
H01068,HS001354,R0081,HUB03,TRK016,warehouse,fish,985.6,2026-08-12 07:24:00,2026-08-12 09:42:36,1.71,1.0,0.25,0.6,3.54,0,0,550.01,1.12,R081,S01354,HUB03,3,H003
H01069,HS000399,R0038,HUB07,TRK037,mode_change,mango,1639.5,2026-04-28 17:32:00,2026-04-28 18:34:24,0.79,0.43,1.13,0.25,8.75,0,0,352.82,0.46,R038,S00399,HUB07,7,H007
H01070,HS000622,R0046,HUB02,TRK008,vehicle_change,dairy,1651.4,2025-01-11 13:42:00,2025-01-11 16:22:48,1.19,0.94,1.1,1.49,4.5,0,0,535.63,1.89,R046,S00622,HUB02,2,H002
H01071,HS001362,R0061,HUB08,TRK036,mode_change,vegetables,1188.6,2025-11-29 09:29:00,2025-11-29 12:14:00,2.0,0.8,1.06,0.75,4.32,0,0,597.5,1.5,R061,S01362,HUB08,8,H008
H01072,HS000504,R0086,HUB04,TRK007,warehouse,dairy,86.4,2026-07-23 12:34:00,2026-07-23 14:58:36,0.48,1.11,1.25,1.93,3.0,0,0,542.79,2.06,R086,S00504,HUB04,4,H004
H01073,HS000637,R0049,HUB08,TRK030,cross_dock,pharma,1263.2,2025-09-19 02:18:00,2025-09-19 05:14:24,1.73,0.25,0.43,1.21,2.66,0,0,579.05,1.6,R049,S00637,HUB08,8,H008
H01074,HS001122,R0071,HUB17,TRK012,mode_change,fish,1431.5,2026-01-23 17:04:00,2026-01-23 22:11:12,2.13,0.34,1.2,2.99,1.02,0,0,837.91,3.81,R071,S01122,HUB17,17,
H01075,HS001407,R0007,HUB09,TRK019,mode_change,dairy,204.1,2026-07-22 15:00:00,2026-07-22 17:28:48,1.35,0.64,0.59,1.13,10.17,1,0,693.97,1.54,R007,S01407,HUB09,9,H009
H01076,HS000941,R0074,HUB01,TRK046,cross_dock,vegetables,1776.4,2025-09-07 12:20:00,2025-09-07 14:26:00,2.05,0.72,0.46,0.05,7.7,0,0,616.07,0.79,R074,S00941,HUB01,1,H001
H01077,HS000554,R0025,HUB20,TRK044,warehouse,vegetables,1652.3,2025-10-18 03:32:00,2025-10-18 04:46:24,0.73,0.76,1.19,0.51,6.85,0,0,512.77,0.99,R025,S00554,HUB20,20,
H01078,HS001019,R0031,HUB09,TRK029,vehicle_change,vegetables,739.8,2026-03-22 00:41:00,2026-03-22 02:06:12,1.29,0.4,0.36,0.13,7.51,0,0,526.85,0.6,R031,S01019,HUB09,9,H009
H01079,HS000045,R0017,HUB10,TRK019,vehicle_change,dairy,680.4,2025-10-10 17:32:00,2025-10-10 19:23:36,0.77,0.6,0.42,1.09,6.17,0,0,506.31,1.64,R017,S00045,HUB10,10,H010
H01080,HS000138,R0078,HUB03,TRK038,vehicle_change,fish,279.7,2026-02-13 11:27:00,2026-02-13 19:17:25,2.39,0.64,1.28,5.450297288918936,3.18,0,0,1215.18,6.04,R078,S00138,HUB03,3,H003
H01081,HS000876,R0001,HUB18,TRK021,cross_dock,dairy,1022.5,2025-07-27 14:00:00,2025-07-27 15:03:00,0.5,0.29,0.42,0.55,-0.09,1,0,518.36,0.75,R001,S00876,HUB18,18,
H01082,HS001162,R0024,HUB18,TRK035,mode_change,dairy,757.8,2025-10-12 02:25:00,2025-10-12 03:49:00,1.31,0.34,0.26,0.09,7.46,0,0,479.15,0.69,R024,S01162,HUB18,18,
H01083,HS000581,R0051,HUB13,TRK042,mode_change,dairy,191.0,2025-09-28 11:39:00,2025-09-28 13:13:48,1.28,0.34,0.51,0.3,7.19,0,0,545.81,0.61,R051,S00581,HUB13,13,H013
H01084,HS000674,R0090,HUB16,TRK024,cross_dock,rice,1605.9,2025-07-27 17:20:00,2025-07-27 18:23:00,0.33,0.5,0.17,0.72,27.72,0,0,288.87,0.84,R090,S00674,HUB16,16,
H01085,HS000735,R0092,HUB18,TRK034,vehicle_change,mango,673.9,2025-01-23 14:53:00,2025-01-23 16:00:48,0.93,0.21,1.19,0.2,11.91,0,0,390.15,0.37,R092,S00735,HUB18,18,
H01086,HS001075,R0007,HUB04,TRK050,vehicle_change,fish,103.4,2025-07-22 18:31:00,2025-07-22 23:47:20,1.24,0.72,0.98,4.032301032755427,1.49,0,0,799.17,4.37,R007,S01075,HUB04,4,H004
H01087,HS000130,R0032,HUB03,TRK050,mode_change,pharma,1580.8,2025-07-18 23:56:00,2025-07-19 01:20:36,1.3,0.8,0.74,0.11,3.8,0,0,594.68,0.75,R032,S00130,HUB03,3,H003
H01088,HS000257,R0006,HUB11,TRK034,mode_change,vegetables,1516.4,2025-05-20 21:51:00,2025-05-21 01:27:00,0.98,0.6,0.68,2.62,7.25,0,0,574.31,2.96,R006,S00257,HUB11,11,H011
H01089,HS000306,R0023,HUB17,TRK015,mode_change,rice,173.6,2025-06-28 05:04:00,2025-06-28 07:56:12,1.05,0.31,0.87,1.82,26.16,0,0,485.08,2.36,R023,S00306,HUB17,17,
H01090,HS001116,R0024,HUB14,TRK027,warehouse,mango,1146.1,2025-05-21 23:50:00,2025-05-22 00:56:36,1.04,0.61,0.82,0.07,10.5,0,0,526.57,0.62,R024,S01116,HUB14,14,H014
H01091,HS000106,R0048,HUB14,TRK049,mode_change,pharma,1065.1,2026-01-05 16:11:00,2026-01-05 17:29:00,1.05,0.82,1.26,0.25,6.1,0,0,442.85,0.85,R048,S00106,HUB14,14,H014
H01092,HS000704,R0022,HUB14,TRK032,mode_change,pharma,1930.3,2025-10-11 20:44:00,2025-10-11 23:27:12,1.56,0.86,1.19,1.16,2.66,0,0,670.09,1.74,R022,S00704,HUB14,14,H014
H01093,HS000127,R0009,HUB18,TRK007,mode_change,dairy,653.8,2025-11-29 11:27:00,2025-11-29 12:35:24,0.33,0.27,0.79,0.81,4.13,0,0,354.08,0.93,R009,S00127,HUB18,18,
H01094,HS001409,R0045,HUB19,TRK049,warehouse,vegetables,1413.0,2026-06-14 14:59:00,2026-06-14 19:12:12,2.21,0.27,0.22,2.01,4.66,0,0,906.1,2.37,R045,S01409,HUB19,19,
H01095,HS000482,R0094,HUB06,TRK029,cross_dock,pharma,351.1,2025-03-03 20:28:00,2025-03-03 22:10:00,0.92,0.33,0.75,0.78,3.74,0,0,503.9,0.96,R094,S00482,HUB06,6,H006
H01096,HS000099,R0047,HUB05,TRK006,mode_change,grains,1201.6,2025-05-17 01:54:00,2025-05-17 03:51:36,1.37,0.57,1.09,0.59,27.62,0,0,613.56,1.2,R047,S00099,HUB05,5,H005
H01097,HS000650,R0058,HUB02,TRK046,mode_change,fish,1835.6,2026-01-30 08:17:00,2026-01-30 10:49:24,0.62,0.38,0.94,1.92,3.51,0,0,474.93,2.46,R058,S00650,HUB02,2,H002
H01098,HS001385,R0015,HUB16,TRK005,cross_dock,fish,510.4,2025-07-31 21:16:00,2025-07-31 23:43:00,0.88,0.15,1.1,1.57,0.06,0,0,642.07,2.02,R015,S01385,HUB16,16,
H01099,HS001283,R0014,HUB17,TRK037,mode_change,pharma,69.9,2025-07-26 03:55:00,2025-07-26 06:29:48,1.23,0.36,0.34,1.35,4.16,0,0,585.06,2.03,R014,S01283,HUB17,17,
H01100,HS000995,R0064,HUB12,TRK041,cross_dock,grains,1678.0,2025-10-05 05:09:00,2025-10-05 06:17:24,1.05,0.88,1.12,0.09,22.58,0,0,378.98,0.35,R064,S00995,HUB12,12,H012
H01101,HS001436,R0059,HUB12,TRK010,cross_dock,grains,548.3,2025-04-05 20:07:00,2025-04-06 03:23:48,2.3,0.58,0.26,4.98,27.33,0,0,946.77,5.77,R059,S01436,HUB12,12,H012
H01102,HS000754,R0048,HUB20,TRK036,mode_change,vegetables,396.7,2025-10-03 01:05:00,2025-10-03 03:26:36,1.76,1.17,0.65,0.6,6.19,0,0,718.65,1.32,R048,S00754,HUB20,20,
H01103,HS001350,R0029,HUB08,TRK037,cross_dock,grains,248.1,2026-04-15 23:05:00,2026-04-16 00:57:48,1.01,0.24,0.67,0.87,30.69,0,0,589.62,1.27,R029,S01350,HUB08,8,H008
H01104,HS000839,R0078,HUB19,TRK021,warehouse,grains,1576.1,2025-02-20 21:16:00,2025-02-20 23:02:12,1.65,0.92,0.57,0.12,23.63,0,0,671.08,0.54,R078,S00839,HUB19,19,
H01105,HS000853,R0092,HUB12,TRK006,warehouse,rice,877.5,2025-06-01 16:05:00,2025-06-01 18:24:12,2.04,0.32,0.78,0.28,20.51,0,0,737.84,0.84,R092,S00853,HUB12,12,H012
H01106,HS000458,R0075,HUB07,TRK029,warehouse,rice,910.5,2026-02-17 04:19:00,2026-02-17 05:03:24,0.45,1.06,0.72,0.29,20.44,0,0,301.52,0.56,R075,S00458,HUB07,7,H007
