route_id,origin,destination,mode,distance_km,avg_transit_hr,reliability,base_cost_inr,typical_transfer_count,weather_sensitivity,temperature_stability_score,route_id_raw
R0280,Kolkata,Jamshedpur,rail,223.2,4.91,0.904,271.5,3,0.31,0.77,R0280
R0281,Kharagpur,Jamshedpur,road,117.3,2.61,0.876,237.89,3,0.83,0.86,R0281
R0282,Kharagpur,Jamshedpur,rail,117.3,2.48,0.871,133.17,1,0.33,0.88,R0282
R0283,Kharagpur,Jamshedpur,local,117.3,4.61,0.818,317.2,3,0.74,0.84,R0283
R0284,Cuttack,Balasore,road,158.2,3.61,0.879,299.35,3,0.81,0.97,R0284
R0285,Cuttack,Balasore,local,158.2,5.35,0.886,427.38,0,0.57,0.89,R0285
R0286,Raipur,Puri,road,465.8,10.41,0.912,870.48,0,1.21,0.86,R0286
R0287,Kharagpur,Gopalpur,road,419.4,9.04,0.895,958.28,3,1.25,0.97,R0287
R0288,Kharagpur,Gopalpur,rail,419.4,8.79,0.887,451.97,0,0.36,0.74,R0288
R0289,Hyderabad,Raipur,road,541.8,10.36,0.921,992.34,0,1.21,0.9,R0289
R0290,Hyderabad,Raipur,rail,541.8,9.86,0.832,696.7,1,0.56,0.88,R0290
R0291,Jamshedpur,Berhampur,road,414.6,9.3,0.941,834.47,2,0.88,0.94,R0291
R0292,Balasore,Puri,road,219.2,5.33,0.883,414.9,3,0.97,0.92,R0292
R0293,Balasore,Puri,local,219.2,7.03,0.854,595.36,3,0.45,0.84,R0293
R0294,Visakhapatnam,Balasore,road,574.9,11.92,0.842,1103.34,3,0.94,0.9,R0294
R0295,Visakhapatnam,Balasore,rail,574.9,10.88,0.932,693.06,2,0.37,0.87,R0295
R0296,Cuttack,Jamshedpur,road,262.5,5.6,0.872,472.54,3,1.0,0.82,R0296
R0297,Ranchi,Cuttack,road,325.8,7.91,0.859,704.18,1,0.92,0.95,R0297
R0298,Kharagpur,Ranchi,road,226.1,5.04,0.903,455.63,2,1.11,0.97,R0298
R0299,Kharagpur,Ranchi,rail,226.1,4.75,0.869,271.08,1,0.67,0.74,R0299
R0300,Jamshedpur,Bhubaneswar,road,281.7,6.27,0.79,635.92,1,1.03,0.97,R0300
R0301,Jamshedpur,Bhubaneswar,rail,281.7,5.86,0.874,304.01,1,0.35,0.72,R0301
R0302,Gopalpur,Sambalpur,road,264.1,6.04,0.886,569.46,2,1.08,0.83,R0302
R0303,Gopalpur,Sambalpur,rail,264.1,4.86,0.84,318.68,0,0.46,0.86,R0303
R0304,Puri,Jamshedpur,road,334.8,7.64,0.904,630.98,0,1.05,0.94,R0304
R0305,Kolkata,Puri,road,403.8,8.08,0.812,759.51,3,0.94,0.85,R0305
R0306,Balasore,Cuttack,road,158.2,3.92,0.879,363.22,0,1.06,0.92,R0306
R0307,Balasore,Cuttack,local,158.2,5.14,0.915,369.72,3,0.56,0.95,R0307
R0308,Cuttack,Sambalpur,road,226.9,5.44,0.939,520.02,1,1.25,0.94,R0308
R0309,Hyderabad,Bhubaneswar,road,837.2,19.61,0.82,1720.8,3,1.08,0.89,R0309
R0310,Hyderabad,Bhubaneswar,rail,837.2,15.56,0.818,1041.94,3,0.47,0.75,R0310
R0311,Ranchi,Gopalpur,road,456.1,11.09,0.833,912.7,1,0.91,0.94,R0311
R0312,Ranchi,Gopalpur,rail,456.1,8.91,0.843,506.4,0,0.63,0.78,R0312
R0313,Rourkela,Puri,road,290.4,7.46,0.921,602.29,0,0.81,0.95,R0313
R0314,Cuttack,Rourkela,road,226.6,5.7,0.837,453.15,2,0.84,0.94,R0314
R0315,Jamshedpur,Rourkela,road,151.2,3.15,0.907,280.72,1,1.25,0.9,R0315
R0316,Jamshedpur,Rourkela,rail,151.2,3.68,0.899,184.02,0,0.6,0.93,R0316
R0317,Jamshedpur,Rourkela,local,151.2,5.46,0.913,381.39,2,0.48,0.84,R0317
R0318,Balasore,Gopalpur,road,325.6,8.38,0.964,698.09,1,1.02,0.92,R0318
R0319,Balasore,Gopalpur,rail,325.6,6.4,0.869,411.42,0,0.66,0.74,R0319
R0320,Raipur,Bhubaneswar,road,448.9,9.97,0.849,849.51,0,0.91,0.88,R0320
R0321,Raipur,Bhubaneswar,rail,448.9,9.14,0.84,569.14,0,0.76,0.76,R0321
R0322,Bhubaneswar,Ranchi,road,343.1,6.75,0.894,775.14,2,0.81,0.94,R0322
R0323,Bhubaneswar,Ranchi,rail,343.1,6.11,0.88,450.58,3,0.58,0.74,R0323
R0324,Jamshedpur,Kolkata,road,223.2,4.58,0.954,466.91,1,1.09,0.83,R0324
R0325,Jamshedpur,Kolkata,rail,223.2,4.39,0.811,276.44,1,0.72,0.82,R0325
R0326,Raipur,Sambalpur,road,244.7,5.49,0.846,558.77,0,0.98,0.83,R0326
R0327,Raipur,Sambalpur,rail,244.7,5.52,0.842,319.25,2,0.67,0.77,R0327
R0328,Ranchi,Kolkata,road,324.3,6.52,0.899,719.85,3,1.11,0.97,R0328
R0329,Ranchi,Kolkata,rail,324.3,7.07,0.805,427.56,0,0.38,0.74,R0329
