shipment_id,product_type,weight_kg,transport_mode,base_transit_hr,required_min_temp_c,required_max_temp_c,pickup_hour,delivery_deadline_hr,transfer_count,rain_flag,congestion_index,historical_route_reliability,assigned_vehicle_id,assigned_route_id,assigned_vehicle_type,vehicle_capacity_kg,vehicle_temp_min_c,vehicle_temp_max_c,vehicle_reliability_feature,vehicle_temperature_control_score,route_avg_transit_hr,route_reliability_feature,route_temperature_stability,route_weather_sensitivity,route_base_cost_inr,route_typical_transfer_count,historical_handling_time_hours,historical_congestion_level,historical_weather_condition,historical_peak_period,delayed
HS002647,Frozen Food,979,rail,4.37,-20,-15,11,15.8,1,1,0.319,0.886,,,,,,,,,,0.886,,,,,,,,,1
HS002648,Pharmaceuticals,321,road,3.5,2,8,23,20.7,0,0,0.976,0.96,,,,,,,,,,0.96,,,,,,,,,0
HS002649,Dairy,269,road,2.28,2,8,23,21.5,0,0,0.865,0.909,,,,,,,,,,0.909,,,,,,,,,1
HS002650,Tomato,612,rail,3.05,8,13,17,19.8,1,0,0.561,0.807,,,,,,,,,,0.807,,,,,,,,,0
HS002651,Mango,293,road,7.6,8,12,6,16.0,1,0,0.393,0.95,,,,,,,,,,0.95,,,,,,,,,0
HS002652,Leafy Vegetables,800,road,8.31,2,8,11,31.7,0,1,0.118,0.773,,,,,,,,,,0.773,,,,,,,,,0
HS002653,Banana,238,road,5.21,12,15,20,9.6,0,0,0.391,0.879,,,,,,,,,,0.879,,,,,,,,,0
HS002654,Frozen Food,257,rail,8.08,-20,-15,23,26.3,1,0,0.378,0.906,,,,,,,,,,0.906,,,,,,,,,1
HS002655,Spices,585,road,3.41,15,30,8,24.3,0,0,0.264,0.809,,,,,,,,,,0.809,,,,,,,,,0
HS002656,Leafy Vegetables,374,road,7.24,2,8,7,27.6,1,0,0.484,0.928,,,,,,,,,,0.928,,,,,,,,,0
HS002657,Leafy Vegetables,376,rail,7.57,2,8,4,31.5,3,1,0.977,0.838,,,,,,,,,,0.838,,,,,,,,,1
HS002658,Pharmaceuticals,101,road,12.53,2,8,21,22.8,1,1,0.376,0.935,,,,,,,,,,0.935,,,,,,,,,0
HS002659,Banana,278,road,8.68,12,15,6,29.9,1,0,0.314,0.774,,,,,,,,,,0.774,,,,,,,,,0
HS002660,Packaged Food,614,local,14.96,15,30,14,32.9,2,0,0.28,0.944,,,,,,,,,,0.944,,,,,,,,,0
HS002661,Leafy Vegetables,210,rail,7.58,2,8,18,31.3,0,0,0.031,0.853,,,,,,,,,,0.853,,,,,,,,,0
HS002662,Mango,552,road,2.28,8,12,11,19.1,0,1,0.149,0.827,,,,,,,,,,0.827,,,,,,,,,1
HS002663,Banana,417,local,15.61,12,15,9,39.1,0,0,0.229,0.779,,,,,,,,,,0.779,,,,,,,,,0
HS002664,Packaged Food,307,road,8.68,15,30,18,15.6,0,0,0.856,0.746,,,,,,,,,,0.746,,,,,,,,,0
HS002665,Tomato,846,road,5.01,8,13,23,25.6,0,0,0.77,0.793,,,,,,,,,,0.793,,,,,,,,,1
HS002666,Frozen Food,281,road,14.79,-20,-15,22,25.2,0,0,0.729,0.819,,,,,,,,,,0.819,,,,,,,,,0
HS002667,Banana,294,rail,0.35,12,15,19,14.4,1,1,0.169,0.87,,,,,,,,,,0.87,,,,,,,,,0
HS002668,Banana,305,road,10.48,12,15,15,23.2,0,0,0.979,0.901,,,,,,,,,,0.901,,,,,,,,,1
HS002669,Spices,369,road,11.18,15,30,20,21.1,0,0,0.958,0.731,,,,,,,,,,0.731,,,,,,,,,1
HS002670,Banana,576,road,0.41,12,15,18,12.7,0,1,0.657,0.958,,,,,,,,,,0.958,,,,,,,,,0
HS002671,Mango,134,road,8.41,8,12,22,22.1,0,0,0.949,0.782,,,,,,,,,,0.782,,,,,,,,,0
HS002672,Dairy,615,rail,17.67,2,8,11,35.5,0,0,0.781,0.89,,,,,,,,,,0.89,,,,,,,,,1
HS002673,Spices,366,road,9.5,15,30,17,32.9,0,0,0.127,0.922,,,,,,,,,,0.922,,,,,,,,,1
HS002674,Leafy Vegetables,502,road,3.67,2,8,1,21.2,0,0,0.57,0.824,,,,,,,,,,0.824,,,,,,,,,0
HS002675,Banana,1657,road,7.6,12,15,4,15.6,0,1,0.302,0.829,,,,,,,,,,0.829,,,,,,,,,0
HS002676,Packaged Food,251,local,11.44,15,30,13,27.2,2,0,0.32,0.732,,,,,,,,,,0.732,,,,,,,,,0
HS002677,Pharmaceuticals,158,road,10.48,2,8,15,31.8,0,1,0.729,0.822,,,,,,,,,,0.822,,,,,,,,,1
HS002678,Spices,397,road,8.31,15,30,6,24.6,0,0,0.627,0.954,,,,,,,,,,0.954,,,,,,,,,0
HS002679,Flowers,440,road,17.44,2,8,2,29.1,0,1,0.559,0.812,,,,,,,,,,0.812,,,,,,,,,1
HS002680,Pharmaceuticals,617,local,4.31,2,8,3,16.6,1,0,0.994,0.944,,,,,,,,,,0.944,,,,,,,,,0
HS002681,Leafy Vegetables,247,road,4.82,2,8,15,13.2,0,0,0.262,0.895,,,,,,,,,,0.895,,,,,,,,,0
HS002682,Leafy Vegetables,204,road,20.24,2,8,18,33.9,1,0,0.874,0.941,,,,,,,,,,0.941,,,,,,,,,1
HS002683,Pharmaceuticals,129,road,17.89,2,8,22,31.3,0,0,0.689,0.769,,,,,,,,,,0.769,,,,,,,,,1
HS002684,Pharmaceuticals,144,road,7.15,2,8,6,12.9,1,0,0.028,0.887,,,,,,,,,,0.887,,,,,,,,,0
HS002685,Packaged Food,267,road,9.35,15,30,13,30.9,1,0,0.472,0.745,,,,,,,,,,0.745,,,,,,,,,1
HS002686,Fish,324,road,3.2,-2,4,10,25.6,1,0,0.153,0.842,,,,,,,,,,0.842,,,,,,,,,0
HS002687,Tomato,1340,road,20.75,8,13,11,31.9,0,0,0.119,0.901,,,,,,,,,,0.901,,,,,,,,,1
HS002688,Dairy,116,road,8.68,2,8,19,21.4,0,1,0.693,0.76,,,,,,,,,,0.76,,,,,,,,,0
HS002689,Fish,435,rail,22.72,-2,4,7,33.9,2,0,0.888,0.96,,,,,,,,,,0.96,,,,,,,,,1
HS002690,Dairy,218,road,1.51,2,8,12,10.1,2,0,0.679,0.837,,,,,,,,,,0.837,,,,,,,,,0
HS002691,Rice,405,road,8.67,15,30,21,20.7,1,0,0.341,0.832,,,,,,,,,,0.832,,,,,,,,,0
HS002692,Fish,244,road,3.96,-2,4,22,23.3,0,0,0.045,0.941,,,,,,,,,,0.941,,,,,,,,,0
HS002693,Mango,686,rail,10.94,8,12,11,18.8,0,0,0.469,0.935,,,,,,,,,,0.935,,,,,,,,,0
HS002694,Fish,683,rail,3.11,-2,4,19,21.4,1,0,0.195,0.949,,,,,,,,,,0.949,,,,,,,,,0
HS002695,Frozen Food,325,rail,9.75,-20,-15,21,30.6,0,0,0.825,0.887,,,,,,,,,,0.887,,,,,,,,,0
HS002696,Spices,892,rail,15.4,15,30,0,22.6,1,0,0.349,0.885,,,,,,,,,,0.885,,,,,,,,,1
HS002697,Leafy Vegetables,574,road,9.4,2,8,11,25.7,0,0,0.901,0.777,,,,,,,,,,0.777,,,,,,,,,1
HS002698,Fish,865,road,10.46,-2,4,22,26.1,1,0,0.123,0.906,,,,,,,,,,0.906,,,,,,,,,1
HS002699,Dairy,340,road,13.87,2,8,10,28.4,0,0,0.062,0.875,,,,,,,,,,0.875,,,,,,,,,0
HS002700,Dairy,650,road,17.44,2,8,7,40.7,1,0,0.003,0.806,,,,,,,,,,0.806,,,,,,,,,1
HS002701,Mango,212,rail,4.77,8,12,18,17.7,0,0,0.98,0.962,,,,,,,,,,0.962,,,,,,,,,1
HS002702,Spices,199,road,8.91,15,30,16,27.9,1,0,0.473,0.842,,,,,,,,,,0.842,,,,,,,,,0
HS002703,Spices,1443,road,4.82,15,30,2,21.6,0,0,0.723,0.901,,,,,,,,,,0.901,,,,,,,,,0
HS002704,Fish,173,road,20.75,-2,4,5,36.2,0,0,0.104,0.886,,,,,,,,,,0.886,,,,,,,,,1
HS002705,Fish,264,rail,17.36,-2,4,22,23.9,1,0,0.106,0.723,,,,,,,,,,0.723,,,,,,,,,1
HS002706,Mango,102,rail,4.47,8,12,4,14.4,0,0,0.269,0.834,,,,,,,,,,0.834,,,,,,,,,1
HS002707,Fish,202,rail,7.16,-2,4,22,15.7,1,0,0.109,0.872,,,,,,,,,,0.872,,,,,,,,,0
HS002708,Dairy,183,road,17.44,2,8,5,21.5,0,0,0.044,0.97,,,,,,,,,,0.97,,,,,,,,,1
HS002709,Pharmaceuticals,226,local,39.07,2,8,6,56.2,1,0,0.066,0.759,,,,,,,,,,0.759,,,,,,,,,1
HS002710,Mango,425,rail,7.26,8,12,10,26.7,0,0,0.426,0.89,,,,,,,,,,0.89,,,,,,,,,0
HS002711,Pharmaceuticals,498,rail,4.12,2,8,13,27.1,2,1,0.429,0.829,,,,,,,,,,0.829,,,,,,,,,0
HS002712,Tomato,182,road,17.89,8,13,19,40.2,0,1,0.498,0.838,,,,,,,,,,0.838,,,,,,,,,0
HS002713,Frozen Food,209,road,6.98,-20,-15,12,28.6,0,0,0.617,0.76,,,,,,,,,,0.76,,,,,,,,,0
HS002714,Frozen Food,708,rail,3.11,-20,-15,21,10.5,1,0,0.276,0.853,,,,,,,,,,0.853,,,,,,,,,1
HS002715,Tomato,1060,local,19.16,8,13,20,28.4,0,1,0.529,0.731,,,,,,,,,,0.731,,,,,,,,,1
HS002716,Dairy,792,road,6.76,2,8,2,28.2,0,0,0.987,0.824,,,,,,,,,,0.824,,,,,,,,,0
HS002717,Rice,120,road,3.12,15,30,7,9.1,0,0,0.648,0.821,,,,,,,,,,0.821,,,,,,,,,1
HS002718,Fish,758,road,4.65,-2,4,2,25.6,2,0,0.816,0.763,,,,,,,,,,0.763,,,,,,,,,1
HS002719,Mango,1168,local,1.79,8,12,18,19.9,0,0,0.88,0.969,,,,,,,,,,0.969,,,,,,,,,0
HS002720,Dairy,116,road,9.4,2,8,22,20.0,0,0,0.222,0.898,,,,,,,,,,0.898,,,,,,,,,1
HS002721,Leafy Vegetables,707,local,33.73,2,8,5,51.9,0,1,0.215,0.959,,,,,,,,,,0.959,,,,,,,,,1
HS002722,Frozen Food,405,road,26.22,-20,-15,16,36.8,0,0,0.213,0.906,,,,,,,,,,0.906,,,,,,,,,1
HS002723,Fish,283,road,26.22,-2,4,2,49.0,0,0,0.401,0.843,,,,,,,,,,0.843,,,,,,,,,1
HS002724,Mango,375,road,8.96,8,12,13,19.7,0,0,0.932,0.873,,,,,,,,,,0.873,,,,,,,,,0
HS002725,Fish,467,road,7.15,-2,4,13,19.1,0,0,0.866,0.762,,,,,,,,,,0.762,,,,,,,,,0
HS002726,Flowers,743,road,8.21,2,8,11,21.4,0,0,0.428,0.758,,,,,,,,,,0.758,,,,,,,,,0
HS002727,Flowers,718,road,4.72,2,8,19,21.2,0,0,0.469,0.842,,,,,,,,,,0.842,,,,,,,,,1
HS002728,Mango,131,road,10.48,8,12,20,30.3,1,0,0.868,0.771,,,,,,,,,,0.771,,,,,,,,,1
HS002729,Leafy Vegetables,230,road,15.91,2,8,14,22.1,0,0,0.556,0.913,,,,,,,,,,0.913,,,,,,,,,1
HS002730,Dairy,372,road,19.89,2,8,19,28.7,0,0,0.377,0.794,,,,,,,,,,0.794,,,,,,,,,0
HS002731,Banana,973,rail,15.4,12,15,0,25.2,2,0,0.056,0.742,,,,,,,,,,0.742,,,,,,,,,1
HS002732,Dairy,59,road,5.1,2,8,16,18.5,1,1,0.438,0.866,,,,,,,,,,0.866,,,,,,,,,1
HS002733,Mango,235,local,13.3,8,12,1,20.9,0,0,0.193,0.859,,,,,,,,,,0.859,,,,,,,,,0
HS002734,Mango,130,road,0.41,8,12,21,20.9,0,1,0.052,0.785,,,,,,,,,,0.785,,,,,,,,,0
HS002735,Frozen Food,144,road,8.96,-20,-15,12,21.3,0,1,0.063,0.752,,,,,,,,,,0.752,,,,,,,,,0
HS002736,Tomato,664,road,2.28,8,13,22,17.8,1,1,0.587,0.877,,,,,,,,,,0.877,,,,,,,,,0
HS002737,Pharmaceuticals,248,road,9.4,2,8,0,24.4,0,0,0.426,0.905,,,,,,,,,,0.905,,,,,,,,,0
HS002738,Mango,77,rail,1.99,8,12,23,23.8,1,0,0.834,0.767,,,,,,,,,,0.767,,,,,,,,,0
HS002739,Fish,316,local,14.26,-2,4,17,20.3,1,0,0.626,0.906,,,,,,,,,,0.906,,,,,,,,,0
HS002740,Leafy Vegetables,1315,road,8.31,2,8,18,17.5,0,0,0.069,0.884,,,,,,,,,,0.884,,,,,,,,,0
HS002741,Rice,108,road,5.47,15,30,9,12.1,0,0,0.483,0.914,,,,,,,,,,0.914,,,,,,,,,0
HS002742,Rice,495,rail,7.58,15,30,2,23.4,0,0,0.592,0.736,,,,,,,,,,0.736,,,,,,,,,1
HS002743,Leafy Vegetables,970,local,13.14,2,8,19,24.3,0,0,0.838,0.962,,,,,,,,,,0.962,,,,,,,,,0
HS002744,Frozen Food,339,rail,3.11,-20,-15,9,16.6,0,0,0.964,0.885,,,,,,,,,,0.885,,,,,,,,,0
HS002745,Tomato,1226,road,3.5,8,13,5,16.4,2,0,0.436,0.785,,,,,,,,,,0.785,,,,,,,,,1
HS002746,Fish,228,road,4.82,-2,4,13,23.2,1,0,0.242,0.939,,,,,,,,,,0.939,,,,,,,,,1
HS002747,Mango,896,local,13.3,8,12,12,33.8,1,0,0.496,0.865,,,,,,,,,,0.865,,,,,,,,,0
HS002748,Dairy,768,road,1.12,2,8,12,24.9,0,0,0.212,0.76,,,,,,,,,,0.76,,,,,,,,,0
HS002749,Banana,343,road,5.21,12,15,6,28.3,0,0,0.274,0.933,,,,,,,,,,0.933,,,,,,,,,0
HS002750,Spices,133,rail,18.12,15,30,1,35.1,2,1,0.146,0.901,,,,,,,,,,0.901,,,,,,,,,0
HS002751,Dairy,183,road,20.76,2,8,11,31.1,1,0,0.644,0.79,,,,,,,,,,0.79,,,,,,,,,1
HS002752,Fish,76,road,5.87,-2,4,15,22.5,0,0,0.696,0.856,,,,,,,,,,0.856,,,,,,,,,0
HS002753,Leafy Vegetables,515,road,10.48,2,8,10,22.2,1,0,0.367,0.82,,,,,,,,,,0.82,,,,,,,,,0
HS002754,Tomato,476,local,21.62,8,13,19,45.2,1,0,0.008,0.722,,,,,,,,,,0.722,,,,,,,,,1
HS002755,Tomato,368,rail,6.59,8,13,1,27.4,1,0,0.604,0.839,,,,,,,,,,0.839,,,,,,,,,1
HS002756,Spices,323,road,9.75,15,30,16,23.4,0,0,0.235,0.779,,,,,,,,,,0.779,,,,,,,,,1
HS002757,Rice,846,rail,5.12,15,30,19,11.6,0,0,0.115,0.759,,,,,,,,,,0.759,,,,,,,,,1
HS002758,Banana,425,road,17.59,12,15,3,26.2,0,1,0.494,0.743,,,,,,,,,,0.743,,,,,,,,,1
HS002759,Flowers,244,road,10.71,2,8,18,25.2,0,0,0.328,0.776,,,,,,,,,,0.776,,,,,,,,,1
HS002760,Leafy Vegetables,385,road,8.96,2,8,0,21.6,0,0,0.379,0.91,,,,,,,,,,0.91,,,,,,,,,0
HS002761,Mango,1325,local,19.16,8,12,16,34.5,0,1,0.769,0.81,,,,,,,,,,0.81,,,,,,,,,0
HS002762,Dairy,524,road,26.03,2,8,4,36.9,0,0,0.881,0.755,,,,,,,,,,0.755,,,,,,,,,1
HS002763,Banana,272,road,9.5,12,15,23,17.4,1,0,0.838,0.762,,,,,,,,,,0.762,,,,,,,,,0
HS002764,Tomato,340,rail,7.2,8,13,11,20.6,2,0,0.584,0.883,,,,,,,,,,0.883,,,,,,,,,0
HS002765,Pharmaceuticals,473,rail,9.13,2,8,15,17.2,0,0,0.144,0.821,,,,,,,,,,0.821,,,,,,,,,0
HS002766,Tomato,266,road,20.75,8,13,1,25.3,0,0,0.361,0.875,,,,,,,,,,0.875,,,,,,,,,1
HS002767,Spices,251,rail,11.79,15,30,11,27.8,0,1,0.459,0.733,,,,,,,,,,0.733,,,,,,,,,0
HS002768,Frozen Food,347,rail,4.96,-20,-15,5,15.9,0,0,0.551,0.902,,,,,,,,,,0.902,,,,,,,,,0
HS002769,Rice,939,rail,18.4,15,30,9,34.6,1,0,0.15,0.961,,,,,,,,,,0.961,,,,,,,,,1
HS002770,Fish,585,rail,4.96,-2,4,0,11.6,3,0,0.299,0.917,,,,,,,,,,0.917,,,,,,,,,0
HS002771,Spices,268,road,5.47,15,30,16,26.7,1,0,0.839,0.9,,,,,,,,,,0.9,,,,,,,,,0
HS002772,Leafy Vegetables,616,rail,9.99,2,8,11,30.7,2,0,0.988,0.77,,,,,,,,,,0.77,,,,,,,,,1
HS002773,Fish,352,road,17.08,-2,4,14,37.3,0,1,0.229,0.821,,,,,,,,,,0.821,,,,,,,,,1
HS002774,Dairy,438,road,3.96,2,8,10,12.8,0,0,0.754,0.759,,,,,,,,,,0.759,,,,,,,,,0
HS002775,Spices,413,road,1.12,15,30,21,20.7,0,1,0.272,0.911,,,,,,,,,,0.911,,,,,,,,,0
HS002776,Banana,89,road,10.8,12,15,20,21.5,1,0,0.143,0.906,,,,,,,,,,0.906,,,,,,,,,0
HS002777,Fish,50,road,17.08,-2,4,11,30.2,1,1,0.144,0.751,,,,,,,,,,0.751,,,,,,,,,1
HS002778,Flowers,406,road,11.98,2,8,2,22.3,0,0,0.84,0.906,,,,,,,,,,0.906,,,,,,,,,1
HS002779,Leafy Vegetables,201,road,3.3,2,8,1,22.7,0,0,0.46,0.863,,,,,,,,,,0.863,,,,,,,,,1
HS002780,Spices,121,rail,7.34,15,30,14,23.8,0,0,0.632,0.965,,,,,,,,,,0.965,,,,,,,,,0
HS002781,Leafy Vegetables,205,road,8.91,2,8,20,27.8,0,0,0.886,0.967,,,,,,,,,,0.967,,,,,,,,,0
HS002782,Banana,638,road,9.7,12,15,22,29.5,0,0,0.597,0.74,,,,,,,,,,0.74,,,,,,,,,0
HS002783,Fish,442,road,5.2,-2,4,0,24.5,1,0,0.002,0.929,,,,,,,,,,0.929,,,,,,,,,0
HS002784,Dairy,578,road,0.41,2,8,14,17.5,0,0,0.615,0.76,,,,,,,,,,0.76,,,,,,,,,0
HS002785,Mango,470,local,14.33,8,12,19,29.8,0,0,0.068,0.857,,,,,,,,,,0.857,,,,,,,,,0
HS002786,Mango,193,road,5.69,8,12,9,19.7,1,1,0.454,0.846,,,,,,,,,,0.846,,,,,,,,,0
HS002787,Banana,580,rail,4.12,12,15,16,9.9,0,0,0.774,0.788,,,,,,,,,,0.788,,,,,,,,,0
HS002788,Flowers,512,road,3.5,2,8,11,8.2,1,0,0.838,0.901,,,,,,,,,,0.901,,,,,,,,,1
HS002789,Spices,324,rail,4.06,15,30,23,26.6,2,0,0.419,0.854,,,,,,,,,,0.854,,,,,,,,,0
HS002790,Fish,364,rail,8.29,-2,4,22,26.1,2,1,0.587,0.876,,,,,,,,,,0.876,,,,,,,,,1
HS002791,Mango,586,road,10.46,8,12,10,29.9,0,0,0.783,0.893,,,,,,,,,,0.893,,,,,,,,,0
HS002792,Dairy,215,local,13.3,2,8,12,36.7,0,0,0.297,0.821,,,,,,,,,,0.821,,,,,,,,,0
HS002793,Spices,710,road,9.26,15,30,23,30.2,1,0,0.576,0.73,,,,,,,,,,0.73,,,,,,,,,0
HS002794,Flowers,505,rail,7.26,2,8,2,26.1,1,0,0.22,0.784,,,,,,,,,,0.784,,,,,,,,,0
HS002795,Tomato,351,road,21.14,8,13,5,31.9,0,0,0.216,0.764,,,,,,,,,,0.764,,,,,,,,,1
HS002796,Banana,947,road,0.41,12,15,12,8.0,1,0,0.253,0.908,,,,,,,,,,0.908,,,,,,,,,0
HS002797,Spices,151,road,13.51,15,30,7,27.4,1,1,0.474,0.782,,,,,,,,,,0.782,,,,,,,,,0
HS002798,Spices,260,road,8.67,15,30,5,26.5,0,0,0.095,0.811,,,,,,,,,,0.811,,,,,,,,,0
HS002799,Mango,225,rail,4.45,8,12,16,17.3,0,0,0.758,0.832,,,,,,,,,,0.832,,,,,,,,,0
HS002800,Rice,442,rail,7.58,15,30,18,29.7,3,0,0.317,0.929,,,,,,,,,,0.929,,,,,,,,,1
HS002801,Mango,755,rail,15.4,8,12,7,31.9,3,1,0.807,0.931,,,,,,,,,,0.931,,,,,,,,,1
HS002802,Mango,185,road,9.75,8,12,0,25.1,0,1,0.116,0.775,,,,,,,,,,0.775,,,,,,,,,0
HS002803,Flowers,3000,local,41.95,2,8,11,58.4,1,0,0.686,0.822,,,,,,,,,,0.822,,,,,,,,,1
HS002804,Dairy,227,rail,2.72,2,8,14,13.4,1,0,0.941,0.781,,,,,,,,,,0.781,,,,,,,,,1
HS002805,Leafy Vegetables,442,rail,3.11,2,8,18,14.9,0,0,0.898,0.964,,,,,,,,,,0.964,,,,,,,,,0
HS002806,Spices,351,road,9.5,15,30,18,28.0,0,1,0.902,0.853,,,,,,,,,,0.853,,,,,,,,,0
HS002807,Rice,361,road,15.28,15,30,23,31.1,0,0,0.237,0.72,,,,,,,,,,0.72,,,,,,,,,1
HS002808,Mango,209,road,13.87,8,12,4,21.8,0,1,0.509,0.743,,,,,,,,,,0.743,,,,,,,,,1
HS002809,Fish,701,rail,22.88,-2,4,13,30.2,2,1,0.971,0.934,,,,,,,,,,0.934,,,,,,,,,1
HS002810,Rice,201,road,4.65,15,30,17,13.5,0,0,0.109,0.82,,,,,,,,,,0.82,,,,,,,,,1
HS002811,Fish,111,road,17.44,-2,4,12,33.9,0,0,0.853,0.946,,,,,,,,,,0.946,,,,,,,,,1
HS002812,Packaged Food,169,road,3.96,15,30,17,15.7,0,0,0.647,0.886,,,,,,,,,,0.886,,,,,,,,,1
HS002813,Pharmaceuticals,896,road,5.01,2,8,15,11.3,1,0,0.29,0.853,,,,,,,,,,0.853,,,,,,,,,0
HS002814,Mango,789,road,24.42,8,12,5,47.9,0,0,0.235,0.924,,,,,,,,,,0.924,,,,,,,,,1
HS002815,Banana,95,rail,10.94,12,15,22,19.4,1,0,0.973,0.903,,,,,,,,,,0.903,,,,,,,,,0
HS002816,Rice,594,local,20.05,15,30,14,32.6,1,1,0.046,0.865,,,,,,,,,,0.865,,,,,,,,,0
HS002817,Packaged Food,97,road,17.7,15,30,9,34.5,1,0,0.606,0.741,,,,,,,,,,0.741,,,,,,,,,1
HS002818,Mango,344,road,10.48,8,12,4,25.0,2,0,0.327,0.921,,,,,,,,,,0.921,,,,,,,,,1
HS002819,Mango,160,road,6.79,8,12,0,17.4,0,0,0.727,0.928,,,,,,,,,,0.928,,,,,,,,,0
HS002820,Flowers,624,rail,4.45,2,8,9,16.9,1,0,0.864,0.943,,,,,,,,,,0.943,,,,,,,,,0
HS002821,Mango,502,local,15.2,8,12,9,24.6,1,1,0.822,0.745,,,,,,,,,,0.745,,,,,,,,,1
HS002822,Mango,662,road,26.03,8,12,17,32.5,0,0,0.839,0.963,,,,,,,,,,0.963,,,,,,,,,1
HS002823,Spices,289,road,3.15,15,30,11,26.8,0,0,0.941,0.829,,,,,,,,,,0.829,,,,,,,,,0
HS002824,Rice,309,local,32.39,15,30,4,45.9,0,0,0.795,0.774,,,,,,,,,,0.774,,,,,,,,,0
HS002825,Spices,132,road,15.28,15,30,15,37.7,0,0,0.593,0.898,,,,,,,,,,0.898,,,,,,,,,0
HS002826,Frozen Food,179,road,13.87,-20,-15,18,22.0,0,0,0.23,0.914,,,,,,,,,,0.914,,,,,,,,,0
HS002827,Leafy Vegetables,648,road,10.71,2,8,2,20.4,0,0,0.286,0.72,,,,,,,,,,0.72,,,,,,,,,0
HS002828,Spices,444,road,9.4,15,30,9,15.3,0,0,0.175,0.801,,,,,,,,,,0.801,,,,,,,,,1
HS002829,Tomato,375,road,5.52,8,13,12,14.8,0,1,0.673,0.837,,,,,,,,,,0.837,,,,,,,,,1
HS002830,Tomato,795,rail,7.58,8,13,4,16.3,1,0,0.073,0.932,,,,,,,,,,0.932,,,,,,,,,0
HS002831,Spices,150,rail,7.78,15,30,4,13.8,2,1,0.104,0.725,,,,,,,,,,0.725,,,,,,,,,1
HS002832,Pharmaceuticals,559,road,8.91,2,8,0,28.9,1,0,0.51,0.908,,,,,,,,,,0.908,,,,,,,,,1
HS002833,Spices,163,road,7.55,15,30,8,15.3,1,0,0.333,0.953,,,,,,,,,,0.953,,,,,,,,,0
HS002834,Banana,915,road,7.32,12,15,10,23.5,0,0,0.919,0.955,,,,,,,,,,0.955,,,,,,,,,0
HS002835,Packaged Food,499,road,5.12,15,30,20,22.6,0,0,0.826,0.776,,,,,,,,,,0.776,,,,,,,,,0
HS002836,Fish,655,road,3.5,-2,4,14,8.9,0,0,0.398,0.874,,,,,,,,,,0.874,,,,,,,,,0
HS002837,Frozen Food,222,road,14.57,-20,-15,19,25.2,0,1,0.896,0.839,,,,,,,,,,0.839,,,,,,,,,1
HS002838,Spices,1446,local,27.32,15,30,9,45.1,0,0,0.584,0.874,,,,,,,,,,0.874,,,,,,,,,1
HS002839,Leafy Vegetables,1283,road,9.75,2,8,0,20.2,1,0,0.466,0.857,,,,,,,,,,0.857,,,,,,,,,0
HS002840,Pharmaceuticals,463,road,13.51,2,8,13,37.0,0,0,0.816,0.946,,,,,,,,,,0.946,,,,,,,,,0
HS002841,Frozen Food,751,rail,8.19,-20,-15,11,15.6,0,1,0.984,0.903,,,,,,,,,,0.903,,,,,,,,,1
HS002842,Rice,288,road,4.73,15,30,0,18.4,1,0,0.731,0.857,,,,,,,,,,0.857,,,,,,,,,0
HS002843,Spices,153,road,9.39,15,30,8,26.1,0,0,0.699,0.969,,,,,,,,,,0.969,,,,,,,,,1
HS002844,Pharmaceuticals,587,road,9.39,2,8,2,22.2,0,1,0.778,0.955,,,,,,,,,,0.955,,,,,,,,,0
HS002845,Mango,193,road,10.48,8,12,4,23.9,0,0,0.433,0.757,,,,,,,,,,0.757,,,,,,,,,1
HS002846,Banana,820,road,7.55,12,15,1,21.0,1,0,0.757,0.879,,,,,,,,,,0.879,,,,,,,,,0
HS002847,Packaged Food,692,rail,4.77,15,30,4,21.7,3,1,0.508,0.954,,,,,,,,,,0.954,,,,,,,,,0
HS002848,Packaged Food,408,road,17.44,15,30,16,29.1,0,0,0.9,0.931,,,,,,,,,,0.931,,,,,,,,,1
HS002849,Packaged Food,393,road,3.2,15,30,6,25.0,1,0,0.86,0.944,,,,,,,,,,0.944,,,,,,,,,1
HS002850,Mango,666,rail,21.31,8,12,7,42.3,1,1,0.106,0.874,,,,,,,,,,0.874,,,,,,,,,1
HS002851,Leafy Vegetables,418,road,9.35,2,8,17,25.4,1,0,0.441,0.74,,,,,,,,,,0.74,,,,,,,,,0
HS002852,Flowers,269,road,11.18,2,8,1,24.1,0,0,0.7,0.724,,,,,,,,,,0.724,,,,,,,,,0
HS002853,Flowers,131,road,10.71,2,8,4,28.7,0,0,0.107,0.795,,,,,,,,,,0.795,,,,,,,,,0
HS002854,Mango,653,road,11.18,8,12,13,24.2,0,0,0.329,0.874,,,,,,,,,,0.874,,,,,,,,,0
HS002855,Fish,444,road,7.24,-2,4,4,23.9,1,0,0.355,0.951,,,,,,,,,,0.951,,,,,,,,,0
HS002856,Banana,2099,road,9.35,12,15,0,20.5,1,0,0.663,0.819,,,,,,,,,,0.819,,,,,,,,,0
HS002857,Dairy,329,road,5.87,2,8,9,24.5,2,0,0.086,0.877,,,,,,,,,,0.877,,,,,,,,,0
HS002858,Tomato,426,road,7.15,8,13,0,12.3,0,0,0.849,0.853,,,,,,,,,,0.853,,,,,,,,,0
HS002859,Mango,432,rail,9.42,8,12,16,14.1,1,1,0.411,0.779,,,,,,,,,,0.779,,,,,,,,,1
HS002860,Mango,534,road,9.39,8,12,17,27.6,0,0,0.009,0.798,,,,,,,,,,0.798,,,,,,,,,1
